{'短评内容': '酒店自带手机很贴心', '短评打分': 5}
{'短评内容': '环境挺好对面就要商场，服务态度好性价比挺高的要说有缺点的话就是房间里不能抽烟', '短评打分': 5}
{'短评内容': '服务很好，房间也很大，周围吃饭买东西方便', '短评打分': 5}
{'短评内容': '带小孩，主动升级到了行政楼层。窗外海景很美，早餐丰富。洗澡的地方有电视屏幕可看，泡澡适用。出门右手边对面有一家好吃的港式饭店（名字忘了）。吃完3分钟进地铁站，很方便。近香港科技大学。', '短评打分': 5}
{'短评内容': '一定要入住海景房，远眺维多利亚港，棒极了，酒店位置也很好，出门楼下翠华、太兴都有，对面有小吃街，走过去就是广场有酒吧，周边设施完善。酒店的设施就更不用说，海景泳池，一边游泳一边看维多利亚夜景，房间吃的都免费，有电话，设施太好，感觉是五星级酒店里最舒服的，以后去香港定点了，哈哈', '短评打分': 5}
{'短评内容': '직원들도 친절하고 시설도 Good!!!', '短评打分': 5}
{'短评内容': 'Great hotel. Great service. Need to turn the air conditioning down in the restaurants and lobby.Would define stay again.', '短评打分': 5}
{'短评内容': '房间在hk来说真的算大了。很好的酒店，比品牌五星级房间大很多。干净、清净。国人不多，各种便利。去海港城走过去20分钟也不远。下飞机坐机场快线转K3免费巴士即到很方便', '短评打分': 5}
{'短评内容': '环境不错，属于香港理工大学的酒店', '短评打分': 5}
{'短评内容': '去看演唱会住的，走路过去红馆10分钟左右。 房间设计挺有意思，但是材料就不高档了', '短评打分': 5}
{'短评内容': 'Exceptional surprise, very nice. Clean, great people. No language issues. I would even go as far as outstanding! Debs', '短评打分': 5}
{'短评内容': '非常棒，下次去香港还是会选住这里，', '短评打分': 5}
{'短评内容': '酒店出去吃的有很多，去海港城也很方便', '短评打分': 5}
{'短评内容': '就还好', '短评打分': 3}
