{'短评内容': '性价比超级高，太值得入住了，家庭套房信得相当舒服。', '短评打分': 5}
{'短评内容': '好评 好评 好评 好评 好评', '短评打分': 5}
{'短评内容': '软件、硬件都不错，多次入住了，值得推荐，希望继续努力加油?', '短评打分': 5}
{'短评内容': '性价比超高，紫薯布丁', '短评打分': 5}
{'短评内容': '很好  很不错  环境很好  服务人员态度也不错', '短评打分': 5}
{'短评内容': '带娃泡酒店的，性价比还算高', '短评打分': 5}
{'短评内容': '半夜上厕所发现抽水马桶是坏的，不能冲洗，退房时反应给前台，前台立即打电话给工程检修，还送了我一个人的早餐，不错', '短评打分': 3}
{'短评内容': '很好很棒的设备及服务，物超所值', '短评打分': 5}
{'短评内容': '很好很棒的设备及服务，物超所值', '短评打分': 5}
{'短评内容': '很好很棒的设备及服务，物超所值', '短评打分': 5}
{'短评内容': '很好很棒的设备及服务，物超所值', '短评打分': 5}
{'短评内容': '保持优质酒店水平房价需要翻新了', '短评打分': 5}
{'短评内容': '宿迁的优质酒店推荐', '短评打分': 4}
{'短评内容': '非常不错的酒店', '短评打分': 5}
{'短评内容': '不错，酒店还免费升级，功能都很齐全，下次来还会选择这里', '短评打分': 5}
{'短评内容': '房間氣派又乾淨，服務人員服務態度很好，早餐也很美味，值得推薦的酒店。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '洗澡时一会儿热水一会儿冷水，房间电脑桌太小，被子蛮好，干净，吃早餐时汤勺用完竟然说没有了', '短评打分': 5}
{'短评内容': '新酒店，设施不错，就是价格有点离谱，太高了。', '短评打分': 5}
