{'短评内容': '性价比超高，离杜甫草堂和浣花溪公园很近。', '短评打分': 5}
{'短评内容': '很棒。很安静环境也很好。连续住了几天还不错。', '短评打分': 5}
{'短评内容': '综合感受相当不错，值得特别指出的是房间照明非常好，灯光布局合理，足够明亮，这一点其实非常重要，对营造一个舒适的下榻环境是很有帮助的。此外，价格也合理，性价比高，几乎可以说是当地的不二选择。下次还会选择的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比还合适', '短评打分': 4}
{'短评内容': '还可以，周边环境不错', '短评打分': 5}
{'短评内容': '还算可以吧，性价比不是很高', '短评打分': 5}
{'短评内容': '位置很不错，停车场也很大。设施太陈旧，感觉就像是国营招待所。所住的房间应该是楼顶搭建的，楼梯都在响，室内底板也是翘起来的&amp;#183;&amp;#183;&amp;#183;&amp;#183;而且临街，隔音差&amp;#183;&amp;#183;&amp;#183;', '短评打分': 2}
{'短评内容': '地理位置不错', '短评打分': 5}
{'短评内容': '房间太成旧，距公园近，总的来说还可以', '短评打分': 3}
{'短评内容': '可以，就是太成久了点。环境可以距公园近', '短评打分': 3}
