{'短评内容': '前台的服务很好，人张得都很漂亮 房间不错 很保暖   周围过了鼓楼就是银川很繁华的地方 好吃好玩的很多 值得推荐', '短评打分': 5}
{'短评内容': '看了网评预定的，服务，卫生都很好，酒店给人感觉很亲切，早餐也很好，品种很丰富，推荐……下次还会来……', '短评打分': 5}
{'短评内容': '首先地理位置优越:中心区商圈鼓楼处 购物 交通方便 周边名小吃集中（黄渠桥炒羊羔肉 老毛手抓刷羊肉等等）。其次酒店前台和客房服务员都很有亲和力 进出问好让人很暖心 还赠送水果盘等 酒店备有早餐 家常不失丰富，水果牛奶小菜情致味道很好 ！再者房间装修新颖 打扫的很干净 冬天了房间有暖气 很暖和 房间备有充电器，吹风机，旅游地图等 ，银川比较干燥 告知服务员 服务员还送来了加湿器！很ok! ', '短评打分': 5}
{'短评内容': '服务周到，还送水果。房间装修高于高端快捷酒店。卫生间设施优良，水量大。中央空调暖风给力。也非常安静。位置在鼓楼100米内，美食如云！', '短评打分': 5}
{'短评内容': '首先是看了网评才决定预订，整体很不错，在市中心出行吃饭非常方便，房间卫生也很好，前台服务也很好，下次还预订你家，愉快的一次出行', '短评打分': 5}
{'短评内容': '干净卫生，服务不错。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '非常好的选择，下次继续。', '短评打分': 5}
{'短评内容': '很好的酒店，工作人员服务好，房间宽大整洁干净，全五分。', '短评打分': 5}
{'短评内容': '环境好住的舒服', '短评打分': 5}
{'短评内容': '住的非常好', '短评打分': 5}
{'短评内容': '环境好设施日', '短评打分': 5}
{'短评内容': '服务好环境好', '短评打分': 5}
{'短评内容': '地理位置可以，早餐差一点，房间舒适度不错', '短评打分': 4}
{'短评内容': '位置相当好，市中心，鼓楼周边，有点闹中取静的感觉，不错！服务人员很热情，细心，周到。 值得推荐，赞！', '短评打分': 5}
{'短评内容': '没想到这个酒店给人的感觉这么好，装修设计带感，设施很新，服务热情，很舒服，安静！就是早餐略显品种少。房间里也没有为常住客人设置挂晒衣服的地方，有点不太人性化。其他都好，喜欢！下次还住这！', '短评打分': 5}
{'短评内容': '卫生环境都不错，服务也挺好，美中不足就是网络不是很给力，希望改进一下。总体来说还算不错哦！', '短评打分': 5}
{'短评内容': '酒店环境很好。很干净。周边很多当地小吃。就是开车不太方便。因为市中心都是单向行驶。', '短评打分': 4}
{'短评内容': '不能刷预售。', '短评打分': 5}
{'短评内容': '网速 洗澡水 都不错 就似乎隔音有点差 如果不怕吵可以来', '短评打分': 5}
{'短评内容': '客房的地毯像破抹布一样，很影响整体感觉。', '短评打分': 1}
{'短评内容': '酒店很暖和，挺舒适的，就是有线电视不怎么样，没有一次性的剃须刀，电话也不能打市话！', '短评打分': 5}
{'短评内容': '房间比较大还算干净，卫生间洗澡间很小，其它还行，没有早餐', '短评打分': 5}
{'短评内容': '房间挺大的，就是没有早餐，房间隔音效果比较差能听得到隔壁人讲话', '短评打分': 5}
{'短评内容': '不错。条件可以、价格不贵。', '短评打分': 3}
{'短评内容': '虽然位置比另外一家店差些，但是价格还算公道，房间隔音有些差，楼道里声音很吵。', '短评打分': 5}
{'短评内容': '服务态度还好了，酒店位置也挺方便。就是设施陈旧，卫生状况一般，尤其是卫生间。', '短评打分': 5}
{'短评内容': '总的来说还是可以，建议增加客房内收费用品、食品的价格标签，以免客人不敢消费。另319房间卫生间下水不通。', '短评打分': 5}
{'短评内容': '不错，空间大，服务好。下次来了还去住。交通方便性价比不错', '短评打分': 5}
{'短评内容': '地理位置较好，家庭房适合一家三口入住，还算不错吧', '短评打分': 5}
{'短评内容': '离市中心挺进 就是离火车站太远了 其他的还可以把 现场订便宜', '短评打分': 5}
{'短评内容': '房间装修还行也挺干净的，卫生间稍微差些有点味道下水不太好，不过北面的房间采光不是很好，价格还行，位置是挺不错的。', '短评打分': 3}
{'短评内容': '没暖气。没空调。卫生较差！', '短评打分': 3}
{'短评内容': '订房时讲是三星,其实不然,是准三星,房间温度太低,淋浴出水的温度也低。无早餐需跑到外面去吃，服务员见人不打招呼，呜呼。不过总台小姐人靓、麻利、和蔼，真是不幸中的万幸。', '短评打分': 1}
{'短评内容': '酒店稍微还是有些偏出行还差不多，房间也是普通的装修，酒店的服务态度还可以，价格的话还是有些高了。', '短评打分': 3}
{'短评内容': '酒店一般的酒店房间还不错，应该是客人比较少早餐也没有，位置是挺好找的，价格的话还是一般没有快捷酒店好。', '短评打分': 3}
{'短评内容': '地点还可以，就是酒店有点老，但是总台服务员态度好、就冲这点下次我还来住', '短评打分': 3}
{'短评内容': '该酒店总台服务非常好，其他的还行，但是，位置不好（去那里要走老的街道可以打的士去，但是，住的周围单行线较多，要赶时间一定要留足富裕的时间）总之，三星标准还够，但是位置不好。', '短评打分': 5}
