{'descr': '还可以，有机会还去旅游。', 'star': 4}
{'descr': '德昌隆客栈人的服务态度还可以,但是他的硬件设施确实不敢\r\n恭维，暖气不热,卫生条件差收费还不低。这些希望客栈能及时改进!', 'star': 3}
{'descr': '环境不错,', 'star': 3}
{'descr': '酒店配置挺干净，位置也还可以，下次去的话，还会住此酒店', 'star': 5}
{'descr': '前台的一个男性工作人员态度很恶劣，态度轻蔑的一塌糊涂，让人很不舒服，有他被侵犯的感觉。', 'star': 1}
{'descr': '一个前台的男性工作人员摔我的身份证，很欠妥，态度太恶劣了！！！', 'star': 1}
{'descr': '还不错。。。。很干净。。。。。。很简单、、。、', 'star': 5}
{'descr': '还行。。。隔音不行。。。没有吹风机等设备。。。不过环境干净。。。总体还行', 'star': 5}
{'descr': '如家一如既往的服务和温馨，停车也很方便，网速特别快，早饭也还可以，就是后面的居民区早晨有点吵', 'star': 5}
{'descr': '还好，比较干净。', 'star': 3}
{'descr': '第二次入住了，感觉一如既往的好,以后还会再来。', 'star': 5}
{'descr': '挺干净的，服务也挺好的，应该还会来住的。', 'star': 5}
{'descr': '在海门这个小地方，如家的设施和服务依然，值得推荐！', 'star': 5}
{'descr': '还不错，挺干净挺新的。服务也挺好。就是有一点，淋浴一会儿冷一会儿热，很受不了。', 'star': 5}
{'descr': '还行', 'star': 3}
{'descr': '位置还是很好找的，停车位不是很多，晚上如果去晚了，车就要停到路边了。酒店服务还不错，干净整洁。能出差的时候享受到统一的标准，比较让人安心。', 'star': 5}
{'descr': '很卫生', 'star': 5}
{'descr': '一开始的服务不是很好啊 貌似是前台的经理都有点不耐烦了的样子 希望能像你的名字一样 能让人有种如家的感觉 而不是欠你钱来还债的感觉', 'star': 1}
{'descr': '没有晚餐，空调很吵，其他一般，卫生间比较干净 ', 'star': 1}
{'descr': '去年新开的如家，在如家里面属于名列前茅的；\r\n值得一提的是服务，服务态度非常好，宾至如归；\r\n我住的那家房间不太好，对着沿街的市场，6点有卸货的声音；\r\n其他房间还可以，枕头有点高，不是很舒服~\r\n', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '非常好，酒店很新，卫生间较宽敞，非常满意', 'star': 5}
{'descr': '房间应配套吹风机', 'star': 5}
