{'短评内容': '很好，舒服，', '短评打分': 5}
{'短评内容': '停车场啥的配套还可以，不过最诡异的是不管标间还是大床，床头都没有插座！！！这个对于睡前要玩会儿手机的人确实有点折磨。', '短评打分': 5}
{'短评内容': '房间一般', '短评打分': 4}
{'短评内容': '经济实惠型', '短评打分': 3}
{'短评内容': '杯子上有头发，用的侧纸太差了，马桶几乎是坏的，这是我住的最差的速8，之前住的真的很不错，我朋友在速8总部工作，所以我基本住它，这次以后我失望极了。', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '晚上空调里古里咕咚的人以为里面有老鼠在走来走去吓得我睡不着，半夜三点。。。', '短评打分': 1}
{'短评内容': '干净，环境也可以没有噪音', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店位置很方便，停车安全，床褥舒服，也比较安静，休息的很好，就是价格稍高', '短评打分': 3}
{'短评内容': '比较干净 房间较小 停车位不多', '短评打分': 3}
{'短评内容': '房间不大没有衣橱 有电脑 总体还行', '短评打分': 3}
{'短评内容': '不错………………………………………\n没有一点点防备，也没有一丝顾虑\n你就这样出现在我的世界里，带给我惊喜，情不自已\n可是你偏又这样，在我不知不觉中\n悄悄的消失，从我的世界里，没有音讯，剩下的只是回忆\n你存在，我深深的脑海里，我的梦里，我的心里，我的歌声里\n你存在，我深深的脑海里，我的梦里，我的心里，我的歌声里\n还记得我们曾经，肩并肩一起走过，那段繁华巷口\n尽管你我是陌生人，是过路人，但彼此还是感觉', '短评打分': 5}
{'短评内容': '价格太高，按照酒店的配置和服务，不值这个价钱。', '短评打分': 1}
{'短评内容': '还不错！经济实惠，汽车免费停，晚上有保安看护。就是靠马路这边房间早上有点吵。推荐一下。', '短评打分': 5}
{'短评内容': '位置便利，房间比较整洁，不是很吵闹。窗户有些小问题，开关不太方便。不开窗的话，卫生间有些气味，不容易散除。', '短评打分': 5}
{'短评内容': '酒店还可以，主要是性价比不错，要是有早餐就好了', '短评打分': 3}
{'短评内容': '挺干净的，周边还有广场。\n', '短评打分': 3}
{'短评内容': '服务员的服务态度还不错，但是就是感觉很旧，酒店估计时间长了，这个装修水准其实觉得不值这个价格，不如汉庭或者如家的档次。', '短评打分': 1}
{'短评内容': '酒店很新，住着也很舒服，服务人员态度也还不错，交通还算好！', '短评打分': 5}
{'短评内容': '酒店很新，不错！房间各方面都不错！就是价格稍微有点小贵！', '短评打分': 5}
{'短评内容': '还不错的酒店', '短评打分': 3}
{'短评内容': '酒店房间比较小，但是很紧凑，应有的设施都有，只是晚上有骚扰电话，入住的时候最好把电话线拔掉', '短评打分': 5}
{'短评内容': '不错挺干净的', '短评打分': 3}
{'短评内容': '环境不错，就是路边的房子有点吵', '短评打分': 3}
{'短评内容': '还不错，地理位置很好，房间干净、安静，方便。服务员态度也很不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '第二次入住，环境不错，安静，下次还会入住', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 3}
{'短评内容': '这个价格的酒店已经不错了。在安康可选择的酒店本来就不多。', '短评打分': 5}
