{'短评内容': '一般般，价格还是比较优惠', '短评打分': 3}
{'短评内容': '没电视，隔音效果不好，厕所没门', '短评打分': 4}
{'短评内容': '自己喜欢就好。。。', '短评打分': 4}
{'短评内容': '位置挺好，房间设施不好，电视坏的', '短评打分': 3}
{'短评内容': '就是觉得还不错啊，下次还会再来', '短评打分': 5}
{'短评内容': '酒店干净卫生。性价比高。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '不错，价格公道', '短评打分': 5}
{'短评内容': '酒店住房环境很好，价格也公道，都挺好的，老板和老板娘人都很好，离景点也不远，很方便，附近的吃的喝的都挺多的，也都挺好玩的。', '短评打分': 5}
{'短评内容': '酒店住房环境很好，价格也公道，都挺好的，老板和老板娘人都很好，离景点也不远，很方便，附近的吃的喝的都挺多的，也都挺好玩的。', '短评打分': 5}
{'短评内容': '房间太小了', '短评打分': 4}
{'短评内容': '离情侣中路很近。附近也有广场，很多东西买', '短评打分': 5}
{'短评内容': '房间太小了  床单还有鞋印   打扫也不干净   地段还是挺好的', '短评打分': 3}
{'短评内容': '：点子女帐号密码陂葺胆小鬼子宫', '短评打分': 3}
{'短评内容': '还不错！我们的房间是向着外面的街道的。空气很好！很喜欢！', '短评打分': 3}
{'短评内容': '！。的有点闷有点闷闷闷', '短评打分': 3}
