{'短评内容': '标准间不标准', '短评打分': 2}
{'短评内容': '酒店距离机场很近，有接送机服务，老板人很好，会问你的航班时间安排送机，房间卫生尚可，机场附近过夜的不错选择，性价比蛮高。', '短评打分': 4}
{'短评内容': '这家店住了好几次了，离太原南站和机场都很近，店家提供接送服务，很方便', '短评打分': 5}
{'短评内容': '性价比很高，离机场非常近', '短评打分': 5}
{'短评内容': '离机场近，暖和，环境很好，老板特别特情，管接送', '短评打分': 5}
{'短评内容': 'a', '短评打分': 5}
{'短评内容': '偶婆哦图我粉咯莫xtox他咯哦', '短评打分': 5}
{'短评内容': '主要是赶飞机特别方便', '短评打分': 4}
{'短评内容': '真心不怎么样，旧式酒店，除了离机场近，在没什么优点', '短评打分': 3}
{'短评内容': '优点:离太原武宿国际机场很近，直线距离大概1km，价格不是太高。缺点: 周边施工，路况不好，卫生条件有待提高。', '短评打分': 3}
{'短评内容': '主要是机场近，接送方便', '短评打分': 4}
{'短评内容': '还不错，到机场接送。', '短评打分': 4}
{'短评内容': '价格挺合算', '短评打分': 4}
{'短评内容': '酒店离机场很近，接机服务很贴心。房间也比较干净，而且安静。赞一个！', '短评打分': 4}
{'短评内容': '老板的机场接送很给力', '短评打分': 3}
{'短评内容': '不行', '短评打分': 1}
{'短评内容': '新疆游客感受：卫生干净、态度好热情、价位低、新建、很不错。\n我是带老婆孩子出门旅游的，在这家住了2天，满意！', '短评打分': 5}
