{'短评内容': '怎么多扣了10元', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '很好，很近，棒', '短评打分': 5}
{'短评内容': '节日期间价格翻了不少，很不划算。服务一般，房间没纸，通知前台到走也没给。周边倒是挺热闹，吃饭也方便。', '短评打分': 4}
{'短评内容': '其他都挺好的，位置在商圈，就是房间里的空调老是发出怪声音，电视只能看直播的，不能看电影，总体不错，。', '短评打分': 5}
{'短评内容': '不咋的', '短评打分': 4}
{'短评内容': '前台很好 开始用的携程交了押金后来又用阿里给朋友订了一间就没收 讲真携程应该跟阿里好好学学', '短评打分': 5}
{'短评内容': '整体蛮清爽的，就着国庆这市口价格还算不错。', '短评打分': 5}
{'短评内容': '不错，环境很好！', '短评打分': 5}
{'短评内容': '环境不错，服务态度好', '短评打分': 5}
{'短评内容': '位置可以，晚上车辆很吵', '短评打分': 4}
{'短评内容': '太差了，什么都没有，而且一些设施也不齐全', '短评打分': 1}
{'短评内容': '不理想', '短评打分': 1}
{'短评内容': '很一般', '短评打分': 4}
{'短评内容': '是10月2日入住的，这个时间段确实房间很紧，地方很好找，但是环境不是很好，服务也不是很好，不晓得是不是人太多了，顾着接待其他顾客去了。。房间里面的浴巾上面有很大片的褐色的污渍，最大的优势就只有地理环境好点了。', '短评打分': 3}
