{'短评内容': '服务还是和以前一样很棒，设施该重新装修了', '短评打分': 5}
{'短评内容': '位置不错，房间有点小，停车场还可以，不适合带孩子，跟迷宫一样', '短评打分': 4}
{'短评内容': '酒店出行方便，设施齐全，环境很好', '短评打分': 5}
{'短评内容': '缺个吹风机，热水不热。', '短评打分': 5}
{'短评内容': '距离车站近，前台服务好，房间隔音不错，真怀念那一晚啊～', '短评打分': 5}
{'短评内容': '酒店卫生还不错，位置交通便利', '短评打分': 5}
{'短评内容': '酒店管理非常好，干净卫生，还会继续观注入住的。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '住得很开心', '短评打分': 5}
{'短评内容': '棒棒棒棒棒', '短评打分': 5}
{'短评内容': '服务好，房间贴心', '短评打分': 5}
{'短评内容': '酒店服务很好，还写了祝福小卡片，性价比很高，旁边就是汽车站和机场巴士终点站，来烟台基本都住这家店，不错', '短评打分': 5}
{'短评内容': '酒店在烟台汽车总站旁边，距离火车站也非常近，出行非常方便。酒店工作人员服务态度很好，这是该酒店一大特色。', '短评打分': 5}
{'短评内容': '还挺好的', '短评打分': 5}
{'短评内容': '还好吧！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '连续住了俩天 房间热水不错哈 多放会后热水可热了很舒服', '短评打分': 5}
{'短评内容': '价格便宜 服务态度很好 地理位置也完美 无可挑剔！', '短评打分': 5}
{'短评内容': '非常适合，很干净，服务非常周到，也不太吵闹。', '短评打分': 5}
{'短评内容': '酒店在闹市区，地理位置还行', '短评打分': 3}
{'短评内容': '新装修的有味道，交通不是很方便，服务员态度还可以。', '短评打分': 4}
{'短评内容': '酒店服务态度很好，也很干净，装修的也不错，花的钱值得', '短评打分': 5}
{'短评内容': '马路的对面就是海，不论早晨还是傍晚，饭后的海边散步时从不曾有的惬意……', '短评打分': 5}
{'短评内容': '还是没装修的时候入住的，价格120较低，现在升级为四星的了，价格上涨了', '短评打分': 5}
{'短评内容': '位置方便，价格合理，交运集团的，3星级！！', '短评打分': 5}
{'短评内容': '酒店新装修，异味很大。尚正在装修，造成很多不便。', '短评打分': 3}
{'短评内容': '房间不错，前台服务比较好！下次还可光临。', '短评打分': 5}
{'短评内容': '图片**！', '短评打分': 5}
{'短评内容': '我是第二次入住通汇了，依然感觉很好，尤其是服务态度，赞一个。', '短评打分': 5}
{'短评内容': '帮同学订的她说不错地点方便下次去玩我也订那酒店', '短评打分': 5}
{'短评内容': '酒店非常好，服务员们很热心。我很喜欢。大家可以来住。', '短评打分': 5}
{'短评内容': '服务没得说，很好，烟台基本上固定的来住通汇。。\n烟台交运的服务，就是好。。', '短评打分': 5}
{'短评内容': '酒店太旧，设施也不好，唯一让人感觉舒服的是酒店的服务，服务很好，但以后不会再选择这个酒店', '短评打分': 1}
{'短评内容': '性价比一般，连一次性拖鞋都收费！门前修路，内部装修，不推荐！', '短评打分': 1}
{'短评内容': '我去的时候正在装修 ，  不过不影响休息。去住的时候服务人员就告知并致歉，服务很好。就是我住的那间客房卫生间下水道流水太慢，晚上洗澡的时候容易积水。', '短评打分': 5}
{'短评内容': '这酒店服务还算不错，就是房间感觉旧了点，不过现在在装修，不知道装修之后会不会好点。', '短评打分': 3}
{'短评内容': '取暖设施真的不怎么样，中央空调开和没开效果都一样，而且房间有点旧了，不过价钱也就那样', '短评打分': 1}
{'短评内容': '老牌的酒店了，设施虽有点老，但是指着还挺舒服，服务态度也好的很，赶上装修特价，值！', '短评打分': 5}
{'短评内容': '就是设备比较旧了 期待装修好的就是设备比较旧了 期待装修好的', '短评打分': 5}
{'短评内容': '就是设备比较旧了 期待装修好的 就是设备比较旧了 期待装修好的', '短评打分': 5}
{'短评内容': '房间卫生打扫不彻底，其它还好', '短评打分': 3}
{'短评内容': '酒店服务不错 交通方便 性价比较高 ', '短评打分': 3}
{'短评内容': '服务态度很好，就是该装修了``````````````````', '短评打分': 5}
{'短评内容': '设施也太旧，硬件不行。跟90年代的宾馆差不多', '短评打分': 1}
{'短评内容': '老酒店了，设施比较旧，地毯上很多烟头烫过的痕迹，空调不是全天开放，晚上估计会冷，交通方便，其他没什么了', '短评打分': 5}
{'短评内容': '酒店周围环境不错，服务态度也很好，值得推荐！', '短评打分': 5}
{'短评内容': '交通非常方便，通汇大酒店与烟台汽车总站紧挨着。房间很干净，卫生间宽敞，我们订的是三人间，全家都很满意。一楼大厅还有个旅行社，我们随团到威海一日游，非常好。', '短评打分': 5}
{'短评内容': '太老了，门太旧了，二楼是自助餐，非常好吃花钱的', '短评打分': 5}
{'短评内容': '临近汽车总站，出行比较方便，但马路很吵，房间有点残旧。', '短评打分': 5}
