{'短评内容': '环境非常好', '短评打分': 5}
{'短评内容': '不错不错很好用了几个人物都有了自己独特见解独到之道！你是怎么回事！你是怎么回事！你的手机没有话费哦！你', '短评打分': 5}
{'短评内容': '房间隔音超差，卫生一般，服务一般，以后不会再住', '短评打分': 3}
{'短评内容': '凌晨四点多到的，服务态度还可以，就是热水是温的，电视只有一个台，幸好无线还可以用，中午退房前打开热水龙头，真的很想骂人，黄色的水难闻死了，建议不要拉开窗帘，明亮的光打在床上被单都是黄的，早上去了江滩基本没住', '短评打分': 3}
{'短评内容': '水好烫啊.', '短评打分': 4}
{'短评内容': '住的那天正好水管坏了……晚上没洗澡，早上没发刷牙洗脸……真倒霉', '短评打分': 4}
{'短评内容': '说实话，没住过这么差的酒店，十一涨价不说房间连一瓶矿泉水都没有，服务员服务态度也差。没什么亮点的酒店。房间很脏。不知道搞卫生没有', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店很好，就是打电话咨询酒店的时候不能说是在京东上面订的，不然酒店前台会耍坏说没有入住信息！！！', '短评打分': 5}
{'短评内容': '和周边宾馆比，性价比高。', '短评打分': 4}
{'短评内容': '周边性价比很高的酒店。', '短评打分': 4}
{'短评内容': '房间窗户坏了', '短评打分': 4}
{'短评内容': '第二次住。10月底房间有点冷。窗户坏了还不给换房间。', '短评打分': 4}
{'短评内容': '说实话，没感受到豪华大床的感觉，房间整体偏旧，电脑运行奇慢，电视能看的台不超过15个，唯一觉得还行的就是房间大小还行。', '短评打分': 4}
{'短评内容': '代人预定的，临时住一晚，基本还行吧，隔音较差，电视没有央5', '短评打分': 4}
{'短评内容': '价格公道，性价比不错，就是一般的可以住的地方，服务设施都谈不上', '短评打分': 4}
{'短评内容': '不错，环境好', '短评打分': 5}
{'短评内容': '早餐越来越简单，晚上水管出问题，停水到11点钟才来。', '短评打分': 4}
{'短评内容': '房间干净 隔音良好 走廊灯光有点昏暗', '短评打分': 4}
{'短评内容': '  酒店住宿环境较安静，价格适中，周边交通很方便，不错。', '短评打分': 5}
{'短评内容': '酒店硬件不错，干干净净。周围环境目前差点，几个月后应该不错，毕竟挨着westin和江边。。。', '短评打分': 3}
{'短评内容': '几位女同志服务员太不像话，爱理不理的，问一句话半天才说，而且态度恶劣。不过内部设施还可以！', '短评打分': 5}
{'短评内容': 'goooooooooooooooooooooooood', '短评打分': 5}
{'短评内容': ' good', '短评打分': 3}
{'短评内容': '酒店开业才半年，设施状况不错，房间干净整洁，比较卫生。服务态度不错，房间电脑故障立马修好。就是隔音效果不太好，尤其是门口角落，能清晰听见过道服务员对讲机里的对话，隔壁的声音也能通过衣柜飘进来，幸好当晚隔壁好像就没人住了。早餐挺卫生的，提供的热面条、米粉尤其不错。', '短评打分': 5}
{'短评内容': '干净卫生，停车场比较大。前台服务态度不错', '短评打分': 5}
