{'短评内容': '还可以，第二次进入住，卫生干净晚上也没什么噪音', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '去年住过这里，感觉还行所以这次来还是选择了这里', '短评打分': 4}
{'短评内容': '很不错酒店', '短评打分': 5}
{'短评内容': '房间设施很差，插房卡的地方都不好，空间狭小，靠近学校隔音效果很不好，最让人不解的是续住还要加钱，呵呵！不说房间好不好就是消费体验真的影响心情。按你的理论我连续入住还得每天加入住费！周边客栈那么多你还可以这么搞？真心是觉得消费者没有选择权和思考权。良心建议后会无期', '短评打分': 3}
{'短评内容': '挺不错的！！！', '短评打分': 4}
{'短评内容': '不错的入住体验！', '短评打分': 3}
{'短评内容': '房间还可以、这个价格比较合适。', '短评打分': 5}
{'短评内容': '方便 干净', '短评打分': 4}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '不错，就是不隔音！电视就只有几个台', '短评打分': 4}
{'短评内容': '一般般，但是价格优惠', '短评打分': 3}
{'短评内容': '30 minute walk to beach it was ok worth it for how cheap it was', '短评打分': 2}
{'短评内容': '环境很好！房间很干净！距离市场很近买东西很方便！希望房间里无线就更好了！', '短评打分': 5}
{'短评内容': '環境很好', '短评打分': 5}
{'短评内容': '还行吧，环境以及价格比较合理，就是有点偏，不大好找', '短评打分': 5}
{'短评内容': '还不错，位置挺好，房间也不错，下次继续住！', '短评打分': 5}
{'短评内容': '距离三亚免税店约700米，步行15分钟。是骗人的 房间太吵 打扫服务员太吵太吵 还能听到骂客人神经病', '短评打分': 1}
{'短评内容': '旅馆一般，出行不方便', '短评打分': 3}
{'短评内容': '房间宽带有问题', '短评打分': 3}
{'短评内容': '一个村子，别再定了，是出行的一大败笔。不可被房间名称蒙蔽。', '短评打分': 1}
