{'短评内容': '酒店有点单调，放了两个梳子，一个牙刷，有点尴尬', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '无早餐，但楼下和附近一日三餐吃饭很方便。可以带孩子，每次不开车，不知道有没有停车场，性价比很高！', '短评打分': 5}
{'短评内容': '位置很好，交通便利。', '短评打分': 5}
{'短评内容': '住一晚还可以', '短评打分': 4}
{'短评内容': '中州之星酒店，便宜实惠，性价比高！！！', '短评打分': 5}
{'短评内容': '1', '短评打分': 3}
{'短评内容': '環境不錯服務也很好', '短评打分': 5}
{'短评内容': '環境不錯服務也很好', '短评打分': 5}
{'短评内容': '环境还可以，窗帘透光性太好了，早上被太阳照醒了，其他还不错', '短评打分': 4}
{'短评内容': '酒店位置不好找没有指示牌，周边环境一般，晚上没有人值班，服务人员很一般，没有基本的服务礼仪！简直就是家庭旅馆，卫生还可以！', '短评打分': 4}
{'短评内容': '里边的床单之类的需要及时更换了，其他的都还挺好的！', '短评打分': 4}
{'短评内容': '很不错，房间大，比较卫生，服务好', '短评打分': 5}
{'短评内容': '去了后悔别跳，那可是28楼', '短评打分': 1}
{'短评内容': '干净，整洁，周边环境好，卫生，方便便捷，服务热情', '短评打分': 5}
{'短评内容': '挺好的，很宽大的房间，服务态度好。就是卫生需要叫了才搞。', '短评打分': 5}
{'短评内容': '环境很差，是私人的，不是正规的中州快捷酒店，也没有前台之类的。就是在一个房间里边收费', '短评打分': 3}
