{'短评内容': '太老的酒店了，除了便宜，别的无法找出优点', '短评打分': 2}
{'短评内容': '酒店个个方面还可以', '短评打分': 4}
{'短评内容': '环境一般化吧，早餐做的也不太好', '短评打分': 4}
{'短评内容': '房间比较旧，属于轮胎厂办酒店！', '短评打分': 5}
{'短评内容': '很老的酒店，胜在便宜，能不住就不住吧！', '短评打分': 2}
{'短评内容': '感觉一般，和价格符合', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '地理位置可以，酒店设施有点老化了，但是蛮干净的。总体来说比较好。', '短评打分': 5}
{'短评内容': '看到网上的评论才过来的，价位适中，携程预定，距离火车站也不远，有五分钟的车程，比较安静，酒店服务也不错，卫生很好，床很大，不足之处是被子稍稍有点潮，房间白天多通风会好，还送早餐，以后还会来！', '短评打分': 5}
{'短评内容': '去晚了，给安排了一个很差的房间，虽然我的房费比朋友还高呢。', '短评打分': 3}
{'短评内容': '位置很好，设施一般，因为年代久远，所以会比较旧，快捷标间感觉比商务标间好，就是早餐没什么东西吃，卫生间容易积水，其他都还可以', '短评打分': 4}
{'短评内容': '位置很好，设施一般，因为年代久远，所以会比较旧，快捷标间感觉比商务标间好，就是早餐没什么东西吃', '短评打分': 4}
{'短评内容': '设施比较陈旧，早餐不怎么样，都是凉的，价格倒是还算便宜.', '短评打分': 3}
{'短评内容': '还行，很宽敞，就是感觉比较老旧了些，房间安排的比较安静。', '短评打分': 3}
{'短评内容': '酒店分南北两楼，南楼条件较差费用却不低', '短评打分': 3}
