{'短评内容': '还可以，交通比较方便。可以满足基本的住宿需求。', '短评打分': 4}
{'短评内容': '还可以，挺好的', '短评打分': 5}
{'短评内容': '差差差', '短评打分': 3}
{'短评内容': '挺好的，服务也好', '短评打分': 5}
{'短评内容': '总体还可以', '短评打分': 4}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '空调怎么不制冷', '短评打分': 4}
{'短评内容': '还可以 床有点不太舒服', '短评打分': 5}
{'短评内容': '一般般 ', '短评打分': 3}
{'短评内容': '一分钱一分货，这个价位还算可以的了', '短评打分': 5}
{'短评内容': '出行非常方便，周边小吃非常多，酒店服务态度好，美中不足的是wifi时好时坏！', '短评打分': 5}
{'短评内容': '酒店环境还行，主要是出行比较方便！', '短评打分': 5}
{'短评内容': '好，5分，下次还来这家！', '短评打分': 5}
{'短评内容': '好，好，好！', '短评打分': 5}
{'短评内容': '5分', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '   这里环境还可以，很符合这个价格。', '短评打分': 3}
