{'descr': '还行，就空调不够给力', 'star': 5}
{'descr': '不错！可以', 'star': 4}
{'descr': '不错，挺好的！性价比高！就是吃饭不方便，旁边小店都拆迁了！！！！！！！！！！！！！！！！！！！！！！', 'star': 4}
{'descr': '还不错  ', 'star': 5}
{'descr': '酒店位置不错。', 'star': 5}
{'descr': '嗯。。。酒店卫生感觉不是很干净是，不过位置不错，叫外卖什么也特别滴方便', 'star': 5}
{'descr': '还不错哦  房间也还可以', 'star': 5}
{'descr': '环境还可以，满意', 'star': 5}
{'descr': '地理位置不错，环境一般', 'star': 5}
{'descr': '非常好。。。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '不完美', 'star': 5}
{'descr': '还可以，方便快捷，一个人出差，可以了，性价比高', 'star': 5}
{'descr': '整体不错，就是电视差了点。', 'star': 5}
{'descr': '一般般', 'star': 4}
{'descr': '还可以！', 'star': 5}
{'descr': '加装了门禁，安全，没有小广告了', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '可以！', 'star': 5}
{'descr': '酒店一般，但在杭州价格实惠', 'star': 3}
{'descr': 'hao', 'star': 5}
{'descr': 'hao', 'star': 5}
{'descr': '酒店环境还是可以的', 'star': 5}
{'descr': '就是去了之后吹风机都被人借完了，郁闷', 'star': 5}
{'descr': '环境**啊，还很吵，2个房间其中一个空调还不好，搞了好久才给换一个，下次不住！！！！', 'star': 1}
{'descr': '个人觉得还可以，附近很安静。', 'star': 3}
{'descr': '酒店干净，交通便利，但网络太慢，若不改进，不会是商务人员首选。', 'star': 3}
{'descr': '不错的地方。值得推荐不错的地方。值得推荐不错的地方。值得推荐', 'star': 5}
{'descr': '不错的地方。值得推荐不错的地方。值得推荐', 'star': 5}
{'descr': ' 离闸弄口有点儿远……其他都不错的', 'star': 3}
{'descr': '不好很脏很吵房间一股怪味床单枕头被子都让人感觉是不干净的床很硬很硬停车地方设计也不合理', 'star': 1}
{'descr': '环境不错，但是住了两晚，胳膊和腿上被咬了包，怀疑有虫子咬的。。。', 'star': 5}
{'descr': '酒店基本还可以，能满足基本需要，性价比尚可，早餐也实惠。', 'star': 3}
{'descr': '房间很干净，服务也挺好。房子是绿色的，房间墙壁是粉红色的，很有特色。房间也不是特别小，总之挺舒服的。', 'star': 5}
{'descr': '第一次住这个酒店，酒店外观不怎么滴，但房间里面还真的不错，对得起这个价格', 'star': 5}
{'descr': '还不错，小房间 大床 在副楼 早上会被路上的噪音吵醒', 'star': 5}
{'descr': '到杭州必住的酒店，干净、整洁、舒适、高性价比，停车也很方便！', 'star': 5}
{'descr': '挺好的。设施简易但很干净。价格也实惠，墙的颜色令人愉悦，去市中心也很近。', 'star': 5}
{'descr': '地理位置不错，房间也比较温馨。就是出租车不是很好打', 'star': 5}
{'descr': '很好！酒店环境非常不错，设施齐全，服务周到，并且价格合理！！！！！！', 'star': 5}
{'descr': '前台人员热情，酒店离我会议地点很近，干净整洁，提供便宜早点，就是吹风难借，希望多准备些。', 'star': 5}
{'descr': '每次来都会入住，服务很好，性价比也很高，以后还会选择。', 'star': 5}
{'descr': '一般般啦，前台电脑坏了，好几天都不修理，而且服务很冷淡！周围没有什么特色的东西，交通还算方便，旁边就是小学，听着广播体操的旋律倒是感觉自己年轻不少！！', 'star': 1}
{'descr': '房间很不错不过房间靠马路吵了点', 'star': 3}
{'descr': '该酒店地址较偏僻，不过里面还是比较干净的！！！！！', 'star': 5}
{'descr': '还不错，就是临街的房间 噪音比较大！靠近马路，半夜车过的声音大，特价房，房间小！', 'star': 5}
{'descr': '怎么说呢？第一感觉就是满意吧！虽然特价间面积较小，但是很合理的分割成了三部分，不错！推荐！', 'star': 5}
{'descr': '环境不错，经常住这里，一直都很好，就是吹风机借不到，有点小郁闷', 'star': 5}
{'descr': '服务差,前台服务员三个班次都没有笑容,一副苦瓜脸.房间卫生一般,只有一点价格还可以', 'star': 1}
{'descr': '不错~已经去住了好几次了。。。都很不错。。。也评了好几次了~这评论一定要20个字，，，，纠结~', 'star': 5}
{'descr': '位置稍微偏了点，不过里面还是挺干净的，主要晚上还不吵，就是周边范围内吃饭的地方不多，到客运中心方便', 'star': 5}
{'descr': '从火车站打车过来十几块钱，还不算太远。这家酒店门口有车直接到达杭州九堡客运中心，从这个客运中心可以直达乌镇，大约1小时20分钟左右的车程，所以要从杭州去乌镇的朋友可以晚上先住在这家酒店。酒店环境干净整洁，色彩的搭配不错，很温馨。不过，预定前问一下是否是靠马路的房间。因为靠马路的房间晚上非常的吵，车来车往，而且车速都很快，严重影响睡眠。杭州的交通比较拥堵，如果要去市区游玩，建议不要住在这里，路上会浪', 'star': 5}
{'descr': '酒店服务以及设施卫生都还不错，在旅游黄金季节里价格也还适中。我住的大床房床很大很舒适，唯一的不足是交通不是很方便', 'star': 5}
{'descr': '怎么说呢、我不知道要不要推荐、环境很好、设施很好、大床房、很大、就是地理位置不是很好、在机场路、不是很繁华、其他都很好。', 'star': 5}
{'descr': '干静', 'star': 3}
{'descr': '酒店硬件软件都相当不错，价格也合理，前台以及楼层服务都不错，就是杭州有些打车不方便，酒店稍微有点远，总体挺满意的。', 'star': 5}
{'descr': '还行吧，五一期间酒店不发了订，这家一般住住还可以', 'star': 5}
{'descr': ' 贵，偏远，钱花的不值，卫生不好，床单像没洗过一样…挺脏的', 'star': 3}
{'descr': '服务还可以', 'star': 3}
{'descr': '还不错 房间不小 也挺干净 就是有点偏僻 不好找 ', 'star': 5}
{'descr': '总体还不错，不过，就个人感觉性价比不算很高。', 'star': 5}
{'descr': '酒店房间很漂亮，虽然不大但是什么都不缺，吃饭很方便，对面就有饭店，饭也不贵，以后有机会再来杭州还会来这里的…谢谢，好评', 'star': 3}
{'descr': '基本满意。', 'star': 3}
{'descr': '住了几次，还蛮舒服的，下次还会入住。床再大点就更好了', 'star': 5}
{'descr': '总体感觉不错，卫生服务都挺好的，由于附近比较空旷相对感觉，倒是有点度假的感觉^_^，唯一不足是住的那间面向马路那边，声音有点吵，不过还可以接受。。。', 'star': 5}
