{'短评内容': '房间干净 设施齐全', '短评打分': 5}
{'短评内容': '非常不错，服务卫生都是没得挑，第一次知道杭州这边原来是2点退房', '短评打分': 5}
{'短评内容': '卫生服务不错，每天都会有人打扫，房间挺大的，好评。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置不错，周边是小区，吃饭玩乐很方便！', '短评打分': 5}
{'短评内容': '除了每天会往门缝里塞小广告还挺多的 其它的都挺好的?', '短评打分': 5}
{'短评内容': '下了订单又给退了', '短评打分': 1}
{'短评内容': '下了订单又给退了', '短评打分': 1}
{'短评内容': '出差住住不错', '短评打分': 4}
{'短评内容': '整体价位 还不错', '短评打分': 5}
{'短评内容': '酒店还不错，周边环境差点。', '短评打分': 4}
{'短评内容': '木有窗木有窗木有窗，订的时候好像没有说是无窗啊，去办理入住被告知木有窗，不太开心，问总台能不能升级成有窗的，说也只有内窗那种房间了，好吧好吧凑合住吧，到滨江考试的，没注意学校其实也离的挺远，169一晚也不算很便宜哇，周围也没有很多好吃的也没有商场，关键是木有窗', '短评打分': 3}
{'短评内容': '床单被子有血迹不干净', '短评打分': 2}
{'短评内容': '房间不大，但设施齐全', '短评打分': 5}
{'短评内容': '性价比高，挺好的', '短评打分': 5}
{'短评内容': '卫生干净，性价比高，出差还会选择', '短评打分': 5}
{'短评内容': '房间干净，服务也挺好的', '短评打分': 5}
{'短评内容': '酒店很干净，服务也不错，会再次选择', '短评打分': 5}
