{'短评内容': '房间比较小，但干净，睡着也舒服。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '交通便利停車方便，房間簡潔一應俱全', '短评打分': 5}
{'短评内容': '酒店位置离火车站15分钟左右的路程，很适合自助游到集合地上车。周边的小吃店也不远，二七小吃街也就15分钟就到了。', '短评打分': 5}
{'短评内容': '设施不错，环境卫生', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '房间干净，就是窗户和没有一样，紧贴别的楼', '短评打分': 4}
{'短评内容': '还好，就是房间小了点', '短评打分': 5}
{'短评内容': '房子还可以，就是窗户太小，太黑。而且离对面的楼不到半米。有停车位', '短评打分': 4}
{'短评内容': '房间太小了隔音效果太差了无线网络不好服务态度不是好', '短评打分': 5}
{'短评内容': '性价比高  值得推荐', '短评打分': 5}
{'短评内容': '不错性价比', '短评打分': 5}
{'短评内容': '比较行！', '短评打分': 5}
{'短评内容': '住着还满意服务员态度好下次有机会还去住', '短评打分': 5}
{'短评内容': '地理位置好', '短评打分': 5}
{'短评内容': '床有点小，而且双床大小不一的！房型较单一！酒店位置非常好，交通方便，就是靠马路太吵，第二天我们换了房间，好点了', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '环境比较差', '短评打分': 2}
{'短评内容': '一股脚臭味。环境和锦江之星品牌有差距。', '短评打分': 2}
{'短评内容': '还可以。', '短评打分': 4}
{'短评内容': '整体都不错，交通也算方便，火车站坐1站就到，门口就是公交车站，走路估计30分钟。房间干净。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '很好，床很舒服，房间比较赶紧，也比较安静，很满意。', '短评打分': 5}
{'短评内容': '位置不错，交通实在太堵。火车北站到这里打车共用70分钟勉强才到。服务还行，歺厅晚歺性价比太低。设置一般吧!不过还想再住二天，毕竟离火车站近。', '短评打分': 5}
{'短评内容': '房间整洁干净，隔音不太好。总体还不错的', '短评打分': 3}
{'短评内容': '服务员都不错，有个中年妇女貌似店长的，比较恶心，其他还好', '短评打分': 5}
{'短评内容': '单人间A房间窗户设置不好，房间隔音效果较差，睡不好。', '短评打分': 3}
{'短评内容': '比较满意，很适合出差住', '短评打分': 3}
{'短评内容': '都还不错，停车方便，电视挂的有点高，看起不方便', '短评打分': 5}
{'短评内容': '房间蛮温馨的，就是隔音效果差了点，希望改善。', '短评打分': 3}
{'短评内容': '商务Ｃ房竟然没有窗户？早８点前入住都要算一天房费，这点比其它连锁酒店差。餐厅吃的种类太少，周边购物不方便。', '短评打分': 1}
{'短评内容': '蛮不错的，就是房间比较小，空气不好，这个价格有点贵了。', '短评打分': 3}
{'短评内容': '早餐不错，后院是空军招待所很安全，就是周边购物条件有待完善。', '短评打分': 5}
{'短评内容': '酒店不错，房间小巧干净，早餐也可以。适合经济出行者。', '短评打分': 5}
{'短评内容': '昨天酒店标A房间才189元，今天就涨到了209元，入住时根本不知道要涨价，早知道的话就多预订几天了。', '短评打分': 1}
{'短评内容': '早都住习惯了，不过现在涨价了，还是便宜点的好', '短评打分': 5}
{'短评内容': '酒店比较干净，服务员态度比较好，就是或许新开的缘故，餐厅吃的东西不多，其他还可以', '短评打分': 3}
{'短评内容': '酒店很舒服，服务设施也很全，就是餐厅的菜炒的味道真的太一般了，就是能做熟！建议换厨师！', '短评打分': 5}
{'短评内容': '优点：停车非常方便，后院是招待所。\n缺点：就4层、挨着马路、晚上比较吵。', '短评打分': 5}
{'短评内容': '酒店很干净。至于邻居（军区）的号声，向我这种过去办事的，一大早就出门，一整天都不在酒店的也没有什么影响了。下次还住这。', '短评打分': 5}
{'短评内容': '非常干净，无线有线都有。服务也好。用餐不好。。。。', '短评打分': 5}
{'短评内容': '现在返现没有之前那么多了，不是很爽，酒店就是那样', '短评打分': 5}
{'短评内容': '不喜欢街边，还是里面的好点，习惯了，能住半年了', '短评打分': 5}
{'短评内容': '位置很好，处于市中心，对于经济型酒店来讲，各方面都不错了。', '短评打分': 5}
{'短评内容': '已经住习惯了这个酒店，但是最近早餐做的不好了', '短评打分': 5}
{'短评内容': '酒店的价格还是比较适合。。。主要的是床上用品看起来不是很干净。其他的都还可以.还有就是没有浴帽....', '短评打分': 1}
{'短评内容': '去机场 火车站很方便。 旁边关兴路吃夜宵也很不错。  酒店背面是军区  很安静   安全。', '短评打分': 5}
{'短评内容': '非常不错 交通方面 早饭很好 房间干净 服务也OK', '短评打分': 5}
{'短评内容': '习惯了住这个酒店，因为是新的，所以还是相当不错的，不过隔音效果一般', '短评打分': 5}
{'短评内容': '交通方便，环境干净，房间挺舒适的，不过正如之前有的客户说牙刷不好用喔，希望能改善改善！', '短评打分': 5}
{'短评内容': '已经住习惯了这个酒店，因为是新开的，还是不错的，楼下的饭有点贵的', '短评打分': 5}
{'短评内容': '干净，服务态度好，本人感觉非常可以，推荐入住', '短评打分': 5}
{'短评内容': '不错，从服务态度到房间卫生状况，都比较令人满意。性价比很高', '短评打分': 5}
{'短评内容': '新开业，很干净，价格也不错，早餐挺好的，还有酸奶', '短评打分': 5}
{'短评内容': '位置比较不错，不过周围吃饭的地方不是很多，出行比较方便，房间宽敞干净', '短评打分': 5}
{'短评内容': '总的来说还是可以，不会隔音差了一点，牙刷真勒不行', '短评打分': 5}
{'短评内容': '比较新，服务也还好。但十八元的早餐只有榨菜和酱豆腐，这与其他锦江之星差距太大。', '短评打分': 5}
{'短评内容': '酒店是刚装修的，非常干净，服务人员也很热情，位置也不错，就是有些房间对过是军区，早上军区的广播生意比较大，下次，我还选这里。', '短评打分': 5}
{'短评内容': '牙刷质量太差', '短评打分': 3}
