{'短评内容': '位置好，设施好！', '短评打分': 5}
{'短评内容': '和朋友一起来的 非常不错  停车方便；前台的妹子们服务好，Dustin 和Ada 服务很周到', '短评打分': 5}
{'短评内容': '房间很大，服务也好，赞', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '满意。全五分。', '短评打分': 5}
{'短评内容': '离亲戚家比较的近，房间还算干净，但不知道是房间原因还是都这样，洗澡水不够热。早餐一般，不算好也不差。', '短评打分': 4}
{'短评内容': '位置好，楼下有很多小吃', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '非常好的入住感受，下次一定会入住。。。。。', '短评打分': 5}
{'短评内容': '服务不错，卫生情况也还行。设备设施总体而言还可以。离市中心稍微嫌远。不过如果去政务区或经开高新区办事还是挺方便的。', '短评打分': 4}
{'短评内容': '酒店环境不错，离高速非常近。周边有个学校所以吃的东西也是琳琅满目。内部装饰也还好，床垫睡着非常舒服。', '短评打分': 5}
{'短评内容': '还行还行还行', '短评打分': 5}
{'短评内容': '还他妈要写什么jb 评价', '短评打分': 5}
{'短评内容': '酒店位置不错，周边吃饭也非常方便，停车场比较小', '短评打分': 5}
{'短评内容': '不错，就是离市区远点，附近办事住那可以', '短评打分': 5}
{'短评内容': '价格一般！', '短评打分': 5}
{'短评内容': '还是那么好', '短评打分': 5}
{'短评内容': '还是那么好', '短评打分': 5}
{'短评内容': '还是那么好', '短评打分': 5}
{'短评内容': '300的房价还是蛮实惠的，已经住过3次了。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '早就提过房间味道太大了，发霉的味道，不知道工作人员还有酒店领导们是否能闻的到，难道是整天在里面适应了？反正我是受不了那个味道，再不系统的除一下味道，不能再住了...伤身体的！', '短评打分': 1}
{'短评内容': '房间还行比较干净，而且床也挺舒服的。缺点就是不好打车', '短评打分': 5}
{'短评内容': '酒店床不错，房间很大，价格便宜，位置好，对面大学，漂亮姑娘很多。', '短评打分': 3}
{'短评内容': '还可以，可以入住。早餐有待改善，8点多就没有什么可以吃的了。', '短评打分': 5}
{'短评内容': '离火车站有点远，周围东西也少，不过酒店还不错', '短评打分': 5}
{'短评内容': '房间味道太大了，电视信号太差，早餐一般...', '短评打分': 1}
{'短评内容': '酒店卫生和服务都很，但是房间内摆设多显得局促！', '短评打分': 3}
{'短评内容': '合肥鹏远凯莱大酒店是一家好酒店，服务态度好，房间也干净，下次还会入住。SZCGL', '短评打分': 3}
{'短评内容': '交通方便，环境还行。但房间内电源太少。', '短评打分': 3}
{'短评内容': '酒店位置很好，出了高速就到，附近有易初莲花等大超市。服务生态度也很好，房间内部设施也很好。并且可以根据自身的要求定带早餐的或是不带早餐的两种，值得推荐。', '短评打分': 5}
{'短评内容': '房间还可以 , 离高速挺近 , 就是附近吃饭的地方很少', '短评打分': 5}
{'短评内容': '非常不错的酒店，前台非常热情，设施各方面都很新，非常喜欢浴室的喷头。以后还会住这家，希望能再给点优惠就更完美了。', '短评打分': 5}
{'短评内容': '总体感觉一般，空调制热太差，房间内温度有点低，早餐也不太好...', '短评打分': 1}
{'短评内容': '不错，新酒店，周边环境也好，离明珠广场很近。', '短评打分': 5}
{'短评内容': '很不错的酒店，房间设施很好，以后还会来的', '短评打分': 5}
{'短评内容': '房间挺大的，鸭绒被很舒服，总体来说不错！', '短评打分': 5}
{'短评内容': '装修还比较新，床特别大，就是两个枕头都有点高。大堂比较冷！性价比还行！', '短评打分': 5}
{'短评内容': '房间很大，卫生。', '短评打分': 3}
{'短评内容': '酒店很干净，但门口的公交改道了，交通不方便了。', '短评打分': 3}
{'短评内容': '酒店的硬件和服务都还可以，就是边上在修路影响了交通。', '短评打分': 5}
{'短评内容': '性价比没得说,床很舒服,早餐很好,对得起凯莱的名号', '短评打分': 5}
{'短评内容': '感觉不错，就是空调不好用', '短评打分': 3}
{'短评内容': '性价比还不错.中规中矩的4星水准.不过我个人比较反感卫生间玻璃门的设计.', '短评打分': 5}
{'短评内容': '很好的酒店，服务周到，设施完备，楼下餐饮也很好，离会展中心近，来做活动的好选择', '短评打分': 5}
{'短评内容': '性价比不错的酒店，新开的，但是周边吃饭地方很多', '短评打分': 5}
{'短评内容': '房间比较大，装修有点陈旧，性价比还行，早餐一般。', '短评打分': 5}
{'短评内容': '挺好的，现在在酒店吃饭还有20%OFF, 不错。。', '短评打分': 5}
{'短评内容': '很方便，交通比较便利，到哪里都不错，周围吃饭也比较方便。值得推荐酒店里的设施和环境很不错，隔音效果没有说的那么好，靠飞机场的房间还是能听到飞机起飞降落的声音，服务蛮好的，就是位置有点偏，不太好找。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '合肥鹏远凯莱大酒店经济实惠，房间干净，交通也很不错，我们长期到那里出差，早餐也很不错，我和同事们都很满意，反正一个字，赞。 ', '短评打分': 5}
{'短评内容': '环境不错，交通还比较方便。床舒服。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '这家酒店设施较新，很舒适，而且离机场很近，方便。价格也可以。不错。', '短评打分': 5}
{'短评内容': '帮同事订的,还不错,性价比高,以后还会入住的...........', '短评打分': 5}
{'短评内容': '前台服务不错，早餐也还可以，总体来说，可以推荐。', '短评打分': 5}
{'短评内容': '酒店大堂不大，过道也比较窄，但装修还算好，比较新，亮点是服务理念好，有求必应，符合四星标准。', '短评打分': 5}
{'短评内容': '很新的酒店，非常好，推荐住580的房子....', '短评打分': 5}
{'短评内容': '还不错，早饭挺好，离高速也很近~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '不错，每次都住这里。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '床超大，很舒服，环境则不错，一只住这，有感情', '短评打分': 3}
{'短评内容': '还好，每次都住这里。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还好，每次都住这里。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '本次入住10楼的标间，房间有一股新装修的味道，早餐不错，酒店很新，写字台的UPS插座不够用。', '短评打分': 5}
{'短评内容': '新的酒店，软硬件各方面都还可以。性价比算是不错的。', '短评打分': 5}
{'短评内容': '还好了，每次都住这里，离去的地方和明珠广场比较近！', '短评打分': 5}
{'短评内容': '同事住的，说还可以，没什么不好的地方。。。。。。。。。', '短评打分': 5}
{'短评内容': '床很舒服，环境还行，之前住的都还好，这次住竟然有蚊子，还好，要了一个电蚊香。', '短评打分': 5}
