{'短评内容': '位置好！安静。', '短评打分': 3}
{'短评内容': '位置很好！在花园中间。很安静！停车也方便！', '短评打分': 3}
{'短评内容': '风景很好，房间也很干净。早餐是定量的，每人一碗光面，一个白煮蛋，一块僵掉的崇明糕，一小段玉米，一段老油条。一杯牛奶。如图。', '短评打分': 4}
{'短评内容': '非常舒服', '短评打分': 5}
{'短评内容': '非常适合带小朋友来玩，每到晚上就有音乐喷泉，会吸引附近的居民带着小朋友来玩，我们住在这根本就不担心没有玩伴。附近还有崇明图书馆、科技馆，也适合亲子。早餐每人每分，能吃的饱。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '就是不太干净，好像好久没擦灰了', '短评打分': 4}
{'短评内容': '环境好，酒店不错', '短评打分': 5}
{'短评内容': '太一般了，。不值，', '短评打分': 3}
{'短评内容': '酒店环境非常好，在湖中一个小岛上，车可以直接开上去，房间不多，装修很不错，阳台特别大，对着湖面，喝茶喝咖啡很有感觉。早餐有特色，不浪费。就是软件上得加强', '短评打分': 5}
{'短评内容': '比较少人，所以没有什么设施。服务好。以为餐厅好，可是菜色，分量都不太理想。早餐味道也差些。可能是为了小团体设计的，不太适合个人家庭。下次可能试试其他地方。    ', '短评打分': 5}
{'短评内容': '7号房不适合冬天住 窗户漏风 空调地热不顶用 太冷了 这个酒店只有几个房间 半夜门口就一位服务员值班 有点害怕啦 让你更加一份冷意  不过前台一个小姑娘服务比较热情   酒店设施高档 早餐一般 配套设施没有 不过周边环境幽静 适合养心', '短评打分': 3}
{'短评内容': '很喜欢每次来都住这', '短评打分': 5}
{'短评内容': '很安静，很好，以后会再考虑光顾的。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间里竟然有巨大的老鼠！晚上睡觉被肆无忌惮的老鼠惊醒！打电话、敲门任何方式都找不到值班人员！发现整个酒店貌似就住了我们两个人和一只硕大的老鼠！因为酒店地处偏僻，周围本来就人烟稀少,惊恐之下只有打电话报警，最后服务员终于睡眼惺忪的走出来面无表情的在凌晨四点多给我们换了房间，可是折腾几个小时哪里还能睡的着！住过那么多酒店，这个酒店是个噩梦…所有的服务员都面无表情…从不主动问候！甚至客人主动跟他问候都没', '短评打分': 3}
