{'descr': '凑合吧', 'star': 3}
{'descr': '凑合吧，价格实惠', 'star': 3}
{'descr': '一分价钱一分货。这个价位的还可以了。蛮好的。', 'star': 5}
{'descr': '很好啊，，，，，', 'star': 2}
{'descr': '很好啊，，，，，', 'star': 2}
{'descr': '经济实惠', 'star': 4}
{'descr': '酒店标间写的是25平米，实际10平多点，设施老旧，携程网保价说预留大点的房间，结果都是骗人的，所以不要相信照片的美好，因为现实真的太残酷！还有吹风机在走廊尽头！床头灯不亮', 'star': 2}
{'descr': '性价比比较高，周围设施也很齐全方便，下次还会住', 'star': 5}
{'descr': '还不错吧就是去的时候电梯没用了', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '房间里面不怎么好。', 'star': 2}
{'descr': '还不错，出差住', 'star': 4}
{'descr': '环境不错，很满意，房间里面空间也非常的大，朋友和我都很满意，给大家打力推荐的地方，这里真的很好，我很满意！', 'star': 5}
{'descr': '第一次住布丁，空间真的很局促，就是两张床抵着卫生间，卫生间也非常小。这家布丁设施相对老旧，空调感觉比较老。不过价格便宜，还可以免费停车，周边就有吃的，如羊肉汤、骨头煲、添福记等，靠公园也很近，非常方便。', 'star': 4}
{'descr': 'hao', 'star': 5}
{'descr': '帮妹妹订的，房间有点小，不过还是挺干净的，周围吃的挺多的，很方便', 'star': 5}
{'descr': '大床C  不错。', 'star': 5}
{'descr': '大床C  不错，', 'star': 5}
{'descr': '设施老旧……', 'star': 4}
