{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '老牌酒店，服务不错', '短评打分': 5}
{'短评内容': '哈哈哈哈哈好', '短评打分': 5}
{'短评内容': '得加强', '短评打分': 3}
{'短评内容': '老牌高档酒店，不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '哈尔滨万达索菲特酒店，中规中矩的五星酒店，价格再便宜点就太完美了！但在索菲特酒店来说，还是西安的索菲特传奇酒店相比就一个天，一个地，不过在哈尔滨来说也算好的了！标准五星，也没什么特点！', '短评打分': 4}
{'短评内容': '哈尔滨万达索菲特酒店，中规中矩的五星酒店，价格再便宜点就太完美了！但在索菲特酒店来说，还是西安的索菲特传奇酒店相比就一个天，一个地，不过在哈尔滨来说也算好的了！', '短评打分': 4}
{'短评内容': '这次入住哈尔滨万达索菲特酒店，中规中矩的五星酒店，在哈尔滨来说，还算不错的了！和其它酒店相比，房间还是稍微小了一点，总的来说，还不错！', '短评打分': 4}
{'短评内容': '酒店服务很好，舒适，就是wifi不太稳定，房间不算大。其他还不错。', '短评打分': 5}
{'短评内容': '楼下的商场还是很实用的 应对牌子都有 款式到不多', '短评打分': 5}
{'短评内容': '写的5-10楼安排在12楼，床根本没有1.8米，最多1.5米！', '短评打分': 1}
{'短评内容': '干净整洁，服务也不错', '短评打分': 4}
{'短评内容': 'bu cuo ', '短评打分': 5}
{'短评内容': '好好好，一切都很好都很好，下次还选择这家公司的飞机', '短评打分': 5}
{'短评内容': '好好好，一切都很好都很好，下次还选择这家', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行吧 就是有点贵', '短评打分': 5}
{'短评内容': '不知道这个价格包括接机，贵了400多，听不划算的，还好还了2000多积分，算挽回一点点损失吧，建议大家订购时一定要看好条款哦', '短评打分': 5}
{'短评内容': '索菲特是哈尔滨最好的酒店，房间和早餐都很好。而且周边娱乐餐饮都很方便。', '短评打分': 3}
{'短评内容': '给客人订的，好像没什末意见。自己下回出差可能会住。', '短评打分': 5}
{'短评内容': 'fyhdhjfgkvbjhjgmg,hk.jhk,vgkjkfgjk', '短评打分': 5}
{'短评内容': '来哈尔滨总住这,酒店不错,但是离市内有点儿距离,不适合旅游的人住', '短评打分': 3}
{'短评内容': '在当地属于满不错的酒店，总体很不错．但前台小姐的态度有待改善！．．．．．．．．．．．', '短评打分': 5}
{'短评内容': '房间太小,房价偏贵', '短评打分': 3}
{'短评内容': '我们的环境还可以。', '短评打分': 3}
{'短评内容': '环境很好，服务周到热情。交通便利、周边商服设施完善。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '价格有点贵，预订部不是太想卖给我房间，最后只能订在了会所楼层，但是退房的时候工作人员提供的价位和情况比预订部的要优惠，奇怪', '短评打分': 5}
{'短评内容': '高级酒店，交通便利，服务态度好，就是价格比较贵一点。', '短评打分': 5}
{'短评内容': '酒店的优惠房是朝向高尔夫球场的 临街 ，而且不带早餐 位置还有点远 洗浴间的下水不好 整的厕所全都是水 ', '短评打分': 1}
{'短评内容': '酒店硬件设施很好，比香格里拉强，但是早餐却没有香丰富。不同的客户有不同的专梯，很国际化。', '短评打分': 5}
{'短评内容': '五星級的飯店 六星期的服務  是一間非常直得推薦入住的酒店', '短评打分': 5}
{'短评内容': '已入住但你们订的价格太高了!不带早餐1481元，太离奇了!上当!', '短评打分': 3}
{'短评内容': '位置不错，但预订的单间，改成标准间，未给出通知，很难接受，都是给领导定的，你说这事办的多窝火。', '短评打分': 5}
{'短评内容': '酒店地理位置非常好,性价比也不错,很舒适干净整洁,服务也不错,值得推荐的酒店.\n', '短评打分': 5}
{'短评内容': '酒店房间还可以，浴室的设计就很差，淋雨会有好多水流到洗手间地上。前台服务也很差，结账开发票等了好久，很没有效率', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '整体来说还行，但是性价比不怎么样，不过可圈可点的是房间确实够大！符合五星标准，但不符合五星的服务！服务人员的服务态度很一般，没办法和香格里拉比！', '短评打分': 1}
{'短评内容': '不满意\r\n和期望的不一样， 性价比很低不推荐', '短评打分': 1}
{'短评内容': '推荐这里，比香格里拉强，不论是舒适度还是服务', '短评打分': 5}
{'短评内容': '一般，不能跟香格里拉比。', '短评打分': 3}
{'短评内容': '酒店有点旧，设施较老，前台的服务一般，而且性价比一般。倒是大堂吧不错，服务生的态度很好。这个索菲特跟其它地方的索菲特有一定的距离。', '短评打分': 5}
{'短评内容': '前台服务级差，根本不是5星的水平，下次去绝对不住了', '短评打分': 1}
{'短评内容': '贵', '短评打分': 5}
{'短评内容': '酒店价格有点偏高', '短评打分': 1}
{'短评内容': '跟南方同样的宾馆不一个档次。', '短评打分': 1}
{'短评内容': '酒店基本好.', '短评打分': 5}
{'短评内容': '酒店的条件确实非常好，环境，设施和人员管理都很不错，位置比较方便，就是价格比较高，我看旁边也是五星级酒店，也不错，价格比他便宜很多。', '短评打分': 3}
{'短评内容': '酒店设施很好，服务优秀。房价较高而且还不含早餐。地段不太好', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
