{'短评内容': '很棒第一次住宿', '短评打分': 5}
{'短评内容': '还可以，店主蛮好的，房间也还行…好评', '短评打分': 4}
{'短评内容': '老板人很不错相当热情', '短评打分': 5}
{'短评内容': '老板人很不错相当热情', '短评打分': 5}
{'短评内容': ' 老板人很好 走的时候还硬说要开车送我们 但因为我们还要去买点东西就没好意思让人家等 还送了我们姑嫂饼 还有 太喜欢在老板家的那个小孩子了 不知道是不是他家孩子 太可爱太萌了 一点都不怕生 才见到我就愿意跟我玩 好舍不得他', '短评打分': 5}
{'短评内容': '老板很热情，提供接送服务  房间还不错，就是隔音不太好', '短评打分': 5}
{'短评内容': '老板已换成一位90后年轻人，但服务依然很好。值得推荐', '短评打分': 4}
{'短评内容': '客栈很干净，舒适。免费给我升级了房间，离开时老板娘亲自送我们去的车站，姑嫂饼相送，下次去还选择这', '短评打分': 3}
{'短评内容': '非常不错的一家民宿，老板和老板娘为人很好，环境温馨，服务周到，很愉快的乌镇之旅', '短评打分': 5}
{'短评内容': '如同大家点评的一样，一家很有爱的小客栈。店老板很热心的到车站接我们母子俩，沿途还介绍去景点的一些便利方式。酒店离西栅2号出口很近，房间整洁干净，床铺大而舒服。离开时老板娘送了可口的姑嫂饼，老板还开车送到车站，还帮忙出主意怎么回家方便。??', '短评打分': 5}
{'短评内容': '老板很热情，离开酒店时老板娘还送特产', '短评打分': 5}
