{'短评内容': '下次还要去', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '一般要再改进一下。。', '短评打分': 3}
{'短评内容': '交通方便，设施齐全，环境不错，挺舒服的', '短评打分': 5}
{'短评内容': '房间挺大的，卫生间有点小，还不錯', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '环境不错好好好', '短评打分': 5}
{'短评内容': '环境不错好好好', '短评打分': 5}
{'短评内容': '还行 周边不怎么热闹', '短评打分': 5}
{'短评内容': '不错！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '交通便利，环境卫生，服务热情。', '短评打分': 3}
{'短评内容': '明明双床房，结果给了间两床拼在一起的奇葩大通铺，共用一张大床单。刚进来没在意，出去吃饭回来，前台已时间过长为由，拒绝调房。 房间卫生较差，墙纸发霉，洗漱区顶棚发霉。。。', '短评打分': 3}
{'短评内容': '明明双床房，结果给了间两床拼在一起的奇葩大通铺，共用一张大床单。刚进来没在意，出去吃饭回来，前台已时间过长为由，拒绝调房。 房间卫生较差，墙纸发霉，洗漱区顶棚发霉。。。', '短评打分': 3}
{'短评内容': '房间不错，干净清楚，位置理想，出入方便，值得推荐', '短评打分': 3}
