{'短评内容': '不错哦！！！', '短评打分': 5}
{'短评内容': '还行，环境不错，交通也还方便，离市中心不远，不过价格有点高', '短评打分': 5}
{'短评内容': '酒店价格很实惠，但是房间真的不怎么样。特价房比想象中还要差，房间里有一股脚臭味。衣橱打开也是一股味道。地理位置只能算一般。实在是因为赶时间随便定了一家，以后应该不会再定。只能说一分价钱一分货', '短评打分': 1}
{'短评内容': '地处成都一环内，到春熙路也就10元出租出费，方便，卫生。', '短评打分': 5}
{'短评内容': '＋很好。', '短评打分': 3}
{'短评内容': '位置还好，服务还可以，就是有点旧了,还能住吧，可以', '短评打分': 5}
{'短评内容': '很一般的酒店，糖酒会期间也乘火打劫，不值哈', '短评打分': 1}
{'短评内容': ' 房间环境其实还行，不过隔音效果很差，房间没有大灯。', '短评打分': 3}
{'短评内容': '酒店内竟然连一次性牙刷都没有。。有点失望了。', '短评打分': 5}
{'短评内容': '宽敞，性价比还可以', '短评打分': 3}
{'短评内容': '酒店比较旧了，自来水有一股霉味。但离春熙路比较近。附近美食比较多。', '短评打分': 1}
{'短评内容': '一般般，价格稍贵', '短评打分': 4}
{'短评内容': '该酒店环境一般，早餐品种太少。 本来在网上预订的豪华单人间，可到了却被告知没有了只有普通单人间。房间的通风不好，换气扇也坏了。空调的声音很大。只能说在成都的一环离天府广场、春熙路比较近，价格不算贵。', '短评打分': 5}
{'短评内容': '客房的电话也不告诉你客房服务拨多少，要个一次性拖鞋还得下楼去前台要。屋里蚊子巨多，没有电吹风，只能说床还算舒适', '短评打分': 1}
{'短评内容': '不错的一家店，在一环路以内，估计等地铁通了以后更方便', '短评打分': 5}
{'短评内容': '总体质量还是不错的，大家去去就知道了.不后悔的', '短评打分': 5}
{'短评内容': '住的特价房一晚无窗，长期入住会憋闷。床垫太软，睡眠环境不错，交通也比较方便，周边吃饭购物很便利，性价比高。', '短评打分': 5}
{'短评内容': '价格便宜，设备一般，装修陈旧。。。。。。', '短评打分': 5}
{'短评内容': '该酒店房间卫生差，早餐简单品种少，中午12店点前退房，没有机打发票，仅此一次不再当回头客。', '短评打分': 1}
{'短评内容': '环境还行，交通也方便，但冬天居然没提供备用的被子，要顾客开空调睡，很容易感冒，很不合理！！！', '短评打分': 5}
{'短评内容': '位置不错，但千万别住无窗的大床房，感觉不好，其它还行', '短评打分': 5}
{'短评内容': '交通不便,大多司机找不到.接待不太禮.地方清洁.', '短评打分': 1}
{'短评内容': '服务态度太差，价格也贵。我入住过了，居然提示我没有入住，没有帮我认证入住信息。', '短评打分': 1}
{'短评内容': '无窗真不好，闷。可是床好大啊受不了，随便滚来滚去', '短评打分': 5}
{'短评内容': '酒店挺干净的，性价比不错', '短评打分': 3}
{'短评内容': '原本定的两晚特价房，无窗，被告知第二晚由于西博会要涨价，于是第二晚干脆换普通的房，收的是挂牌价288。设施一般，环境一般，远远对不起这个价格，下次不会再去入住了。', '短评打分': 1}
{'短评内容': '环境还是不错，服务也还可以，主要是里市区近，出门方便。', '短评打分': 5}
{'短评内容': '挺旧的 对房间要求不高的可以 有点潮 通风不好', '短评打分': 1}
{'短评内容': '一般一般 放假旧旧的吧 还隔音不好。。。。。。。。。。。。。。。。\n', '短评打分': 1}
