{'descr': '能有个酒店住很不错啦。', 'star': 4}
{'descr': '坏境很好 很喜欢 一次去平遥还会定他家。我避开人多的时候去的古城 很安静 适合我 院里有只狗 特别乖巧', 'star': 5}
{'descr': '环境不错，古色古香，店主非常热情，，找不到路还亲自去接车的。店家的刀削面也很好吃', 'star': 5}
{'descr': '很舒适 被子特别舒服哈哈 不虚此行 老板很热情 服务周到 房间不大但是很卫生干净', 'star': 5}
{'descr': '位置很好找。东门不远处，进城就是。服务也很好。笑脸相迎，走时还送了礼物！下次还会再光顾', 'star': 5}
{'descr': '不错 老板亲自去车站接送我们 服务到位 还给我们送了可口的水果 房间很干净 价钱也很便宜 老板还赠送了我们地图 下次还要来他家 ', 'star': 5}
{'descr': '今年过年的时候就在他们家住过 特别棒 我们晚上出去玩儿 回来就两点多了 老板还在那儿坐着等我们 直到我们睡下他才睡觉的 特别好 别家的我们都是晚上敲半天门都不开 第二次在她家住了 依然还是那么好 干净 卫生 便宜。', 'star': 5}
{'descr': '来两次都住她家，其它都好，就是离景点稍远', 'star': 5}
{'descr': '隔音效果不好 太吵', 'star': 4}
{'descr': '还行吧。有点冷', 'star': 5}
{'descr': '268一样，真是清明节啊，地下室，床上还有虫', 'star': 3}
{'descr': '4还不错', 'star': 4}
{'descr': '我已顺利入住，此酒店服务特好!感谢老板一家人!', 'star': 3}
{'descr': '老板和老板娘人超好，火车还没到站，就询问到站时间，安排接站，我们临时多了几个人，老板娘也给安排了大床房，而且只收了我们几个被子的费用。客栈很古色古香，床铺干净，很好的客栈，推荐入驻', 'star': 5}
{'descr': '客栈非常好~到平遥的时候是老板亲自开自家的车免费接站的，到店之后阿姨还免费帮我们升级了客房，超级nice，空调电视独立卫浴一应俱全，还可以免费无线~第一天天气很热，阿姨还帮我洗了衣服，感激%>_<% 客栈很好找，就在东门，进去就可以看到；斜对面是文庙的正门~也可以在客栈吃饭，好吃不贵~虽然这次没时间尝了，不过下次去平遥还要住这家店~走的时候是客栈的车送我们的，大叔还告诉我们想在哪里下车买东西随时可', 'star': 5}
{'descr': '这家客栈的位置比较偏，然后我和同伴找了很久才找到，还各种打车被骗，结果老板说，客栈有接站服务的，真是欲哭无泪啊，不过老板真是人很好，帮我们把被骗的车钱追回来了，虽然钱不多，但是我真是很感动。里面的设施也不错，装修的很好，就是热水比较小。不管怎么样给我的印象还是很不错的。', 'star': 5}
{'descr': '我们是五月四日到的馀庆和客栈 店很大很漂亮 老板娘好的没有话说，客栈设施也很漂亮。热水很到位。装修特别的精致 连细节都很到位 房间里的烧水壶都是古香古色的！！！总之 推荐驴友们住这里 太好了 地方也很好找 从东门进去 第一家 离文庙和城隍庙都很近！！再小小透露一下 我们从平遥汽车站做三轮摩托来客栈 摩托司机想拉我们去他们的客栈 然后他还各种说我们100元肯定住的不好 没想到一到馀庆和门口连摩托司机', 'star': 5}
{'descr': '老板娘很好，就在文庙和城隍庙那边，并且周围小吃很便宜，在五一期间才一百，然后设备挺好的，觉得很值。推荐大家去', 'star': 5}
{'descr': '设施很新很漂亮，很干净，洗澡方便。样子和图片一致。宽带端口和充电插口各有两个，电视接收到的台较少。没有床头灯和一次性拖鞋。床上有垫子，睡得很舒服。', 'star': 5}
