{'短评内容': '很好，安静，干净', '短评打分': 5}
{'短评内容': '非常满意，酒店整体非常干净，房间卫生也不错，wifi也有。总体感觉该酒店房間还是不错的，还会再来的 。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '酒店位置不错', '短评打分': 4}
{'短评内容': '客房满意', '短评打分': 5}
{'短评内容': '房间有很多玩具，设计的也很符合小朋友的喜好，入住还有小朋友的礼物，离科技馆也很近！非常棒的一次体验！', '短评打分': 5}
{'短评内容': '地理位置方便', '短评打分': 5}
{'短评内容': '住过，一，般', '短评打分': 5}
{'短评内容': '特别棒，环境不错', '短评打分': 5}
{'短评内容': '还不错，就是装修老了点。', '短评打分': 5}
{'短评内容': '离出差的办公地点非常近，环境服务都不错', '短评打分': 5}
{'短评内容': '有一张券，价格就比艺龙便宜了', '短评打分': 5}
{'短评内容': '由于公司就在边上，从便利性上觉得过得去，但水准距希尔顿有差', '短评打分': 4}
{'短评内容': '帮客户代订的、客厅很满意', '短评打分': 5}
{'短评内容': '安静，方便，快捷', '短评打分': 5}
{'短评内容': '很好。住宿条件不错，交通也很便利，出门地铁，出租什么都很方便。并且价格也经济实惠，商务出名是不错的选择。', '短评打分': 5}
{'短评内容': '早餐非常好，就是东楼西楼隔得有点距离', '短评打分': 5}
{'短评内容': '感觉还不错，但是性价比不高', '短评打分': 4}
{'短评内容': '服务很好，虽然装修都很老了。能眺望东方明珠和世纪金融中心，只不过雾霾太大了。酒店早餐只能说一般，外宾较多。', '短评打分': 5}
{'短评内容': '经常住的酒店，交通便捷，周边吃的比较多。', '短评打分': 4}
{'短评内容': '不错 不错 还好 还好 可以住住 不错 不错 还好 还好 可以住住 不错 不错 还好 还好 可以住住', '短评打分': 3}
{'短评内容': '还不错，环境挺好的', '短评打分': 4}
{'短评内容': '环境和服务都不错，位置也挺好。', '短评打分': 4}
{'短评内容': '房间很小，酒店较老了，相对来说品牌在那里，设施维护还不错。不过早餐和自助餐都很一般，自助餐性价比极低。', '短评打分': 4}
{'短评内容': 'Now it become more and more expensive in Shanghai', '短评打分': 5}
{'短评内容': '好啊!有档次，就是贵啊。工薪层消费不起!', '短评打分': 5}
{'短评内容': '不错，下次还住住在这里。希望下次服务质量有所提高。', '短评打分': 5}
{'短评内容': 'DiliWeizhiheli,huanjinshushi,fowuzhoudao,jiagezhongdeng.jiushiyinshibutaifangbian.', '短评打分': 5}
{'短评内容': 'fdfdfdf飞  fffffffff~~~~~~~~~~~~~~~~~~~~~~~~·', '短评打分': 5}
{'短评内容': '价格偏高，其他还行，主要是去新博览中心方便', '短评打分': 5}
{'短评内容': '交通方便，环境优美，价格合理，设施尚可；但自助餐贵了，质量差了。', '短评打分': 5}
{'短评内容': '去展馆方便', '短评打分': 3}
{'短评内容': '酒店相对有点旧了，但是交通便利，价格在5星级标准里还算可以接受', '短评打分': 5}
{'短评内容': '第二次入住这家，离浦东展览馆挺近的，适合参展的时候入住', '短评打分': 5}
{'短评内容': '很好的酒店，住了2天很好的酒店，住了2天很好的酒店，住了2天很好的酒店，住了2天很好的酒店，住了2天很好的酒店，住了2天很好的酒店，住了2天很好的酒店，住了2天很好的酒店，住了2天', '短评打分': 5}
{'短评内容': '升级到套间，非常好！', '短评打分': 3}
{'短评内容': '酒店的网络要收费~5元/分钟？这太黑了吧！害得我2天多没办法工作？', '短评打分': 1}
{'短评内容': '酒店位置环境设施都很不错，服务也很好。西餐很好吃。值得推荐，每次来上海出差都会选择这里', '短评打分': 5}
