{'短评内容': '吹风机还要共用', '短评打分': 3}
{'短评内容': '停车方便 ，走什么地方交通也便利', '短评打分': 5}
{'短评内容': '酒店环境可以，干净，卫生，这个价位值！', '短评打分': 5}
{'短评内容': '环境可以，挺干净的', '短评打分': 5}
{'短评内容': '环境不好纸巾和矿泉水居然还要收费，大家不用上厕所了！', '短评打分': 1}
{'短评内容': '国庆乱费，携程订了房205元实际收了398元，环境卫生太差。', '短评打分': 1}
{'短评内容': '不想说因为太差', '短评打分': 1}
{'短评内容': '房间特别小，味道还大，床挨着卫生间，排风扇和空调嗡嗡的响，一晚上都没睡好，这么差的环境还收200多，携程上说有早餐店家说过节不能提供，反正是非常非常差的体验，希望携程能做好酒店的审核，这么差的酒店就不要上来坑人了', '短评打分': 2}
{'短评内容': '硬件，服务都差。', '短评打分': 2}
{'短评内容': '预定时有早饭，实际没有，设施陈旧，就算在重庆，这样的环境和设施明显偏差，建议作为出行的最后备选方案，', '短评打分': 3}
{'短评内容': '就是有点吵，其它还好', '短评打分': 5}
{'短评内容': '国庆价格太高，这个宾馆开得比较久了，设施相当陈旧，确实没选择了，不推荐日常入住', '短评打分': 3}
{'短评内容': '房间被子有一些味道，湿度大，总体感觉不好', '短评打分': 3}
{'短评内容': '服务态度差', '短评打分': 2}
{'短评内容': '服务态度差，前台服务员又笨又倔。不会再来', '短评打分': 3}
{'短评内容': '定给朋友住的，朋友说怎么比现场的价格还高哦！。。。', '短评打分': 5}
{'短评内容': '酒店不错，客服很周到，房间也很舒适，价格比较适中，就是离三峡广场稍微远了点，走路大概要走10多分钟，总的来说还是很不错的。', '短评打分': 5}
{'短评内容': '灰常不错！挺干净，服务也挺好；要是有窗户就更好了', '短评打分': 3}
{'短评内容': '房间里的纸巾真是质量太差了，豪华单间也不见得豪华', '短评打分': 3}
{'短评内容': '不错，服务太好了！就是房间没有挂衣服的地方，其他都很好！', '短评打分': 5}
{'短评内容': '不错，就是早餐不是很好吃，挺好的！', '短评打分': 3}
{'短评内容': '干净。就是隔音不好。', '短评打分': 3}
{'短评内容': '隔音太差', '短评打分': 3}
{'短评内容': '已入住，酒店干净整洁，早餐好', '短评打分': 3}
{'短评内容': '房间陈旧，早餐很差，无停车。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '条件很差', '短评打分': 3}
{'短评内容': '我明明用了优惠卷还收我148块一个晚上。  还有停车服务也不给我们提供。酒店介绍上就有提供停车服务。\n建议大家不要去。诚信问题！', '短评打分': 1}
{'短评内容': '我只想对这个酒店的服务评价 太差了！\n第一，店面介绍上写的很清楚。免费停车，结果不提供停车 ，我停车用了32块钱。\n第二，环境差，服务差。建议大家不要去这里住。', '短评打分': 1}
{'短评内容': '干净环境好各方面都很满意 就是地方离三峡广场远了点', '短评打分': 5}
{'短评内容': '位置太偏僻，环境不好，看着一点都不大气，房间太小', '短评打分': 1}
{'短评内容': '距离近的都客满，只能选择这里了。还可以啦', '短评打分': 5}
{'短评内容': '还可以！就是有点儿小，环境还可以！不过我好像在房间里发现小强了', '短评打分': 5}
{'短评内容': '酒店硬件和软件做的都很到位，卫生条件蛮好的，住宿环境不错，性价比高', '短评打分': 5}
{'短评内容': '酒店还不错，空调电视都有，生活用品也挺齐全，价格方面也能接受。', '短评打分': 5}
{'短评内容': '很好的，整体不错！嘿嘿！！但是有点贵···感觉···性价比有待提高···', '短评打分': 5}
{'短评内容': '服务质量挺不错，设施挺完善，位置很好，出行很方便，值得推荐。', '短评打分': 5}
{'短评内容': '酒店位于三峡广场附近，游玩很方便，内部环境也不错，设施挺齐全，性价比还不错。', '短评打分': 5}
{'短评内容': '周边环境不错，交通挺便利，前台服务人员挺好，服务很周到，价格方面还算公道。', '短评打分': 5}
