{'短评内容': '两个枕头就好了', '短评打分': 5}
{'短评内容': '早餐还可以，', '短评打分': 5}
{'短评内容': '这店比7天好一点，早上有早餐', '短评打分': 5}
{'短评内容': '靠大马路，吵死了 真是稀烂', '短评打分': 2}
{'短评内容': '非常棒的房间 住了几次', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间挺大', '短评打分': 4}
{'短评内容': '还不错,环境设施都很好,干净,舒适.', '短评打分': 5}
{'短评内容': '客服人员很认真，前台服务员要加强一下，生怕麻烦她们。', '短评打分': 5}
{'短评内容': '整体还行，就是wifi的信号不是特别好，房间的卫生还不错，价格便宜，毕竟位于藏龙岛这个地方，性价比比较好', '短评打分': 4}
{'短评内容': '酒店整体感觉不错，环境也行，早餐丰富', '短评打分': 5}
{'短评内容': '还可以几乎每次来都住这里的，好评', '短评打分': 4}
{'短评内容': '太差了，很旧，网络是联不上的', '短评打分': 2}
{'短评内容': '这个价位很不错，安静！房间也不错！', '短评打分': 5}
{'短评内容': '酒店还不错，都挺好的，很干净，也很安静。', '短评打分': 3}
{'短评内容': '还行 看起来还比较干净', '短评打分': 3}
