{'短评内容': '房间设施有点旧了，有早餐还是不错的。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常不错！', '短评打分': 5}
{'短评内容': '很舒服', '短评打分': 5}
{'短评内容': '帮别人订，去到那里却查不到订单，重新开了一间！', '短评打分': 1}
{'短评内容': '1.隔壁房间吵到凌晨三点多，一个晚上都没睡好。2.床铺睡的，浑身很痒。', '短评打分': 3}
{'短评内容': '酒店蛮好的，交通方便。酒店设施蛮齐全的，前台美女职业装很大方热情。总体感觉非常好，大气上档次。床垫舒适，毛巾干净，花洒、马桶、洗脸池都是TOTO品牌的。房间内Wi-Fi信号强，上网速度蛮快的。数字电视收台很多，房间内中央空调很给力。餐厅也很棒，服务员双手接券，微笑鞠躬送客。很满意，下次出差应该还会住这。', '短评打分': 5}
{'短评内容': '酒店蛮好的，交通方便。酒店设施蛮齐全的，前台美女职业装很大方热情。总体感觉非常好，大气上档次。床垫舒适，毛巾干净，花洒、马桶、洗脸池都是TOTO品牌的。房间内Wi-Fi信号强，上网速度蛮快的。数字电视收台很多，房间内中央空调很给力。餐厅也很棒，服务员双手接券，微笑鞠躬送客。很满意，下次出差应该还会住这。', '短评打分': 5}
{'短评内容': '酒店蛮好的，交通方便。酒店设施蛮齐全的，前台美女职业装很大方热情。总体感觉非常好，大气上档次。床垫舒适，毛巾干净，花洒、马桶、洗脸池都是TOTO品牌的。房间内Wi-Fi信号强，上网速度蛮快的。数字电视收台很多，房间内中央空调很给力。餐厅也很棒，服务员双手接券，微笑鞠躬送客。很满意，下次出差应该还会住这。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '挺好的 价格也实惠', '短评打分': 5}
{'短评内容': '交通方便早餐也还可以，环境安静，很好的。', '短评打分': 3}
{'短评内容': '不错吧，定的两间商务双人房，带着两老人，对得起定的价格，前台服务态度很好。', '短评打分': 4}
{'短评内容': '好环境优雅，安静舒适，出差好地', '短评打分': 3}
{'短评内容': '不怎么样，要不就是这坏了，要不就是什么坏了，装修不好，和7天的没法比', '短评打分': 1}
{'短评内容': '2012年6月26日入住，很烂的酒店，绝对不会住第二次，预定商务大床房，入住630；结果发现不但没有地巾，浴室左右滑动双开的玻璃门只有半扇，洗澡的时候至少留40公分的空隙会让水喷出来，打电话问前台，回复“我们这就是没有地巾，玻璃也都是这样的”，换房间628更惨，浴室洗澡间不但没门，连个拉的浴帘都没有，洗澡的时候水全部会喷到外面的马桶及地板；636与635也是如此，问清洁的大姐“是否玻璃门都是这样？', '短评打分': 1}
{'短评内容': '房间很干净，配备很齐全，住的很温馨！就是临近马路，很吵。', '短评打分': 5}
