{'短评内容': '！！！', '短评打分': 5}
{'短评内容': '床超级大，看着像是两张床拼在一起的，但是却只有一张床', '短评打分': 5}
{'短评内容': '房间还好，就是有点吵', '短评打分': 4}
{'短评内容': '地址方便', '短评打分': 5}
{'短评内容': '地址方便', '短评打分': 5}
{'短评内容': '设施有点老了。房间位置不好，窗户打开被酒店广告牌堵着。亏我是豪华房间…唉', '短评打分': 4}
{'短评内容': '环境不错，房间干净，空气良好。', '短评打分': 5}
{'短评内容': '还不错???', '短评打分': 5}
{'短评内容': '服务态度还可以，房间挺干净，就是我住的那间晚上KTV的声音特别吵。', '短评打分': 5}
{'短评内容': '酒店内部环境卫生非常干净，员工服务不错，', '短评打分': 5}
{'短评内容': '很吵睡不着 床单有脏东西 服务态度恶劣', '短评打分': 1}
{'短评内容': '环境不太安静，卫生非常好，服务很到位，', '短评打分': 5}
{'短评内容': '不错服务也好', '短评打分': 5}
{'短评内容': '酒店不错，很干净，就是有点吵', '短评打分': 5}
{'短评内容': '没住过这么吵的酒店，楼下KTV低音炮震耳欲聋到三点，要求换房间前台推三阻四，商旅客人强烈不建议', '短评打分': 3}
{'短评内容': '酒店服务态度还好，设施也不错，就是楼下的ktv有些吵～', '短评打分': 4}
{'短评内容': '一般。晚上KTV太吵', '短评打分': 4}
{'短评内容': '其他都bu错，晚上有点吵！！！', '短评打分': 5}
{'短评内容': '还可以，服务还不错，交通便利！', '短评打分': 4}
{'短评内容': '不错，房间很好，性价比很高，二楼餐厅也很赞！', '短评打分': 3}
{'短评内容': '环境一般，服务态度好', '短评打分': 3}
