{'短评内容': '服务很好 床也很舒服  如果可以提供早餐就更完美了 ', '短评打分': 5}
{'短评内容': '酒店房间一般吧，空间也不大，设备也一般……', '短评打分': 4}
{'短评内容': '房间小了点', '短评打分': 5}
{'短评内容': '房间略小', '短评打分': 4}
{'短评内容': '体验极差这次，大床房就是一个房间用木板隔成两个房间，隔音极差，两间房还床头对床头，早上5-6点钟对面房的发神经一直有电话打进来，震动加铃声加说话，和在我床头打一样样的，吵醒无法入睡', '短评打分': 4}
{'短评内容': '不错 挺好的', '短评打分': 5}
{'短评内容': '花洒水很小，基本是慢慢流出来的，环境不错，服务也不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '方便。', '短评打分': 5}
{'短评内容': '方便。服务好。', '短评打分': 5}
{'短评内容': '到昆明考基金资格，云尚四季酒店隔壁就是会计考试中心，不到十米远距离，非常贴心。地铁站很近，周边小吃，便利店都很方便。房间干净卫生，洗漱用品很简单，服务热情，隔壁停车不属酒店管理，要收费，个人觉得不错，经济实惠。', '短评打分': 5}
{'短评内容': '隔音不好，临街吵', '短评打分': 2}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '订了两件家庭房 非常满意 附近交通也很便利 物超所值', '短评打分': 5}
{'短评内容': '位于地铁附近 交通便利', '短评打分': 4}
{'短评内容': '服务态度好，卫生干净，交通也很方便。', '短评打分': 5}
{'短评内容': '一直住这家，很喜欢，服务也不错。', '短评打分': 5}
{'短评内容': '当地的快捷酒店，不错，京东通过他们的系统预订的还少了10块，给力', '短评打分': 5}
{'短评内容': '挺干净舒适的，就是不含早餐，总的来说都挺不错的', '短评打分': 5}
{'短评内容': '总体来说感觉昆明酒店业还不够发达，但该酒店性价比还是不错，云上四季在云南都做的还不错，适合商务出差或自费旅游的朋友', '短评打分': 5}
{'短评内容': '入住很顺利,提早了一小时到就住进来了,大床房靠马路还好离地铁施工保持了点点距离.', '短评打分': 3}
{'短评内容': '卫生不错，周边出行也很方便。就是隔音太差，可能因为我选的房间靠路边的缘故，晚上车辆来回的声音太大，楼上冲马桶的声音也可以听见。', '短评打分': 5}
{'短评内容': '好评！酒店很干净！东西齐全。酒店工作人员很有礼貌也很热情~交通也很方便~总之很喜欢~', '短评打分': 3}
{'短评内容': '酒店就在市中心，交通方便，商务大床房很舒服很整洁，下次还会住这。', '短评打分': 5}
{'短评内容': '从来都爱这家酒店，赴昆呢最佳选择。', '短评打分': 3}
{'短评内容': '\n云上四季昆明拓东店住着感觉很好', '短评打分': 3}
{'短评内容': '房间太小了点，设施比较新，不能容忍的就是隔音太差，隔壁房间的电视机声音，打电话声音，还有RB的呻吟声，听得太清楚了。', '短评打分': 5}
{'短评内容': '门店前台女服务员态度一般，服务意识也不够强，不能为客户着想，客房设施可以，卫生间马桶不通畅．周边设施不错，出行方便，附近200米年轮饭店不错，东西很好吃，价格也可以，还有嘉华饼屋东西好吃', '短评打分': 1}
{'短评内容': '不错！对面有家米线店，24小时营业，不错！', '短评打分': 5}
{'短评内容': '隔音非常差，而且，卫生间马桶不干净', '短评打分': 3}
{'短评内容': '总体来说比较满意的,服务态度很好,房间干净整洁,就是小了点', '短评打分': 5}
{'短评内容': '地理位置好，房间干净、温馨，服务也很好，住起来很舒服，希望以后商品多一些，增加一些日用品，比如品牌洗发水、沐浴露，杯子、方便食品等', '短评打分': 5}
{'短评内容': '房间很大、很干净，卫生间很好。离金马坊很近，逛街。吃饭方便', '短评打分': 5}
{'短评内容': '环境挺好的，房间有点太小，打扫房间的阿姨一层就一个，有点忙不过来。', '短评打分': 5}
{'短评内容': '不错，宽敞明亮，价格合适，设备完善。值得再住一次', '短评打分': 5}
{'短评内容': '酒店设施比较齐全，也比较新，还有直饮水系统，是个特色。不过我们入住的房间花洒太瞥了点，而且只有一个手握的，建议老板考虑换成双喷头的，才和酒店的整体环境更配套和和谐。', '短评打分': 5}
{'短评内容': '酒店设施很新，房间也很大，很温馨，服务员的态度也很好，耐心的解释，向大家推荐', '短评打分': 5}
{'短评内容': '这家酒店的环境还不错，配套齐全，地理位置佳，值得入住。', '短评打分': 5}
{'短评内容': '帮朋友订的。之前去住过，感觉环境还不错。', '短评打分': 5}
{'短评内容': '很好的。。每次朋友出差来昆明 都住这。。', '短评打分': 5}
{'短评内容': '这次房间里的大床好像更大些，赞一个!因为住6楼才发现了酒店的餐厅，15元一人很好，入住几次前台只告之不含早但从没告之有早餐？', '短评打分': 3}
{'短评内容': '房间很好。订房时网上是229，结账时被告之249元一间', '短评打分': 3}
{'短评内容': '住的条件不错.在经济型连锁店中应该是首选', '短评打分': 3}
{'短评内容': '环境ok,就是房间隔音太差', '短评打分': 3}
{'短评内容': '酒店位置不错，比较干净，服务态度也很好。隔音效果不是很好，能听到隔壁打电话的声音。', '短评打分': 5}
{'短评内容': '温馨，时尚。家庭房的大床很大。夜里也比较安静。\n因在市中心，没有停车位。停车得到别的地方，开车很不方便。', '短评打分': 5}
{'短评内容': '该酒店非常好，给人感觉比较温馨，在昆明是非常不错的连锁酒店。', '短评打分': 5}
{'短评内容': '老住客了，毎次出差都在这，挺好的，早歺好', '短评打分': 5}
{'短评内容': '地理位置还可以，办理手续的速度很快!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '服务不是很好，有点遗憾，但是房间不错，还会来住的', '短评打分': 5}
{'短评内容': '服务很好，干净，快捷，地段方便!', '短评打分': 3}
{'短评内容': '服务不错，房间也干净，冂.', '短评打分': 3}
{'短评内容': '挺不错了，每次出差都来，这次还办了会员卡，实惠又干净。', '短评打分': 5}
{'短评内容': '酒店邻近北京街，交通方便，周边吃饭也方便。酒店房间干净。', '短评打分': 3}
{'短评内容': '真的 很不错 但是 一定要住主楼   位置也很好', '短评打分': 5}
{'短评内容': '酒店不错，很宽敞，比一般的快捷酒店要好很多，不过没吃到早餐', '短评打分': 3}
{'短评内容': '地理位置优越，交通也比较便利。距离昆明商业中心很近。房间整洁。去年到现在住了3次了，另外云上四季的钟鼓楼店也住过。', '短评打分': 5}
{'短评内容': ',这个酒店还不错，价格实惠，挺干净', '短评打分': 3}
{'短评内容': '酒店不错，干净，地段好，服务也好，还有直饮水。', '短评打分': 5}
{'短评内容': '酒店位置不错，距离繁华的南屏步行街很近，不行10-15分钟，酒店很干净，有楼顶餐厅，环境挺好，但是订房一定要注意不要窗户对着天井的，通风不好，昆明北京路因为修地铁交通受影响，缺点是很难打车。', '短评打分': 5}
{'短评内容': '不错，房间大，很舒服，大床真的好大啊，离市中心也近，舒服', '短评打分': 5}
{'短评内容': '位置很好，交通蛮方便，装修也挺新的~我觉得下次来昆明还会订这家。', '短评打分': 5}
{'短评内容': '酒店的格局非常独特，服务态度也很好，房间也很满意。不过希望能将卫生间的玻璃换成磨砂的。', '短评打分': 5}
{'短评内容': '酒店很干净，而且房屋也很宽敞，服务也不错，就是我们3个人只给了一张早餐劵，给3张就好了。', '短评打分': 5}
{'短评内容': '酒店条件还可以。离出差的地点非常近便。周围也有很多的吃饭的地方。', '短评打分': 5}
{'短评内容': '房间可以，但是马桶没有干净，退房慢', '短评打分': 3}
{'短评内容': '不错 推荐入住不错 推荐入住不错 推荐入住不错 推荐入住', '短评打分': 5}
{'短评内容': '酒店很干净很舒服', '短评打分': 3}
{'短评内容': '房间条件挺好，早餐也还行，服务态度好', '短评打分': 3}
{'短评内容': '已入住，单人房，房间虽小硬件条件还可以。', '短评打分': 3}
{'短评内容': '入住商务大床房，硬件设施很好，性价比很高，地理位置很好，前台服务员很热情！值得推荐，下次还会入住！', '短评打分': 5}
{'短评内容': '房间明亮，床比较舒服，定的商务间；但早餐不如从前了，西瓜不新鲜，明显腐烂，居然放在自选餐台上，油条不新鲜，口感像过夜的，不敢吃；比起锦江之星的早餐差太远。', '短评打分': 5}
{'短评内容': ' 靠街太吵 不靠街窗打不开 太闷 ', '短评打分': 3}
{'短评内容': '干净舒适', '短评打分': 3}
{'短评内容': '位置还可以，服务还不错，房间有的比较小，其他都还行，下次还会住，。', '短评打分': 5}
{'短评内容': '干净卫生，早餐也很丰盛，晚上也没骚扰电话的，价格合理，交通很便捷，尽管现在的昆明在修地铁。', '短评打分': 5}
{'短评内容': '还可以啊，不错的酒店', '短评打分': 3}
{'短评内容': '不错，路段很好，离金马碧鸡坊很近，也比较安静，性价比较高', '短评打分': 5}
{'短评内容': '挺不错的，干净也大，价格也算不错，服务还好', '短评打分': 5}
{'短评内容': '位置好，离岔街、金碧坊都近，购物方便。空调不好用，冬天住有些冷。', '短评打分': 5}
{'短评内容': '家庭房宽敞干净，设施齐全，是居家旅行不错的选择。', '短评打分': 5}
{'短评内容': '酒店硬件条件不错，前台服务周到。', '短评打分': 3}
{'短评内容': '主要是价格便宜； 4层就感觉到空调主机的噪音，晚上尤其大；房间窗户打不开，空气差；床够大；上网很慢；', '短评打分': 1}
{'短评内容': '环境很好，很干净。打的到机场也就17块左右，下次再到昆明一定还住这里', '短评打分': 3}
{'短评内容': '房间比较小了点~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '和几个朋友一起住的,大家评价都不错,性价比挺高的', '短评打分': 5}
{'短评内容': '房间很好，很大，就是前台问路时指的不太清楚，总推荐打车。', '短评打分': 5}
{'短评内容': '房间不大，很精致，很清静，是出差入住好地方', '短评打分': 5}
{'短评内容': '一家很不错的经济酒店，也在城市中心，设施很新，唯一遗憾就是窗户玻璃打不开．', '短评打分': 5}
{'短评内容': '酒店很干净，出行很方便', '短评打分': 3}
{'短评内容': '不错的酒店，推荐，前台CHECK IN太慢了，卫生纸超小。', '短评打分': 5}
{'短评内容': '好，很不错', '短评打分': 3}
{'短评内容': '比较经济实惠，离机场近。不过从机场到酒店，人家不是很乐意拉', '短评打分': 5}
{'短评内容': '经济实惠，地理位置也比较好，还是值得推荐~~', '短评打分': 5}
{'短评内容': '位置相当方便，去机场很近，床很舒服，附近有家米粉店！', '短评打分': 5}
{'短评内容': '酒店价格和服务还能让人接受，但隔音、门缝和通风效果令人失望。', '短评打分': 1}
{'短评内容': '第一晚安排在6楼的家庭房，由于是晚上的飞机到酒店已经很累了，可是进房间后发现有不明的噪音嗡嗡作响，听着很难受，根本无法睡觉。电话与前台联系，说是楼顶水箱烧水的声音，过半个小时就会好了，但是半小时过后噪音还在，由于已经很晚了且没有房间可以调换，只好将就一晚，塞了mp3的耳机勉强睡吧，第2晚赶紧换房了。说一下那个水箱一晚上都在嗡嗡作响，真得很是难受。不过后来换的房间还是不错的。总体来说，酒店的设施服务', '短评打分': 5}
{'短评内容': '酒店还行,房间小了点', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '总体不错，但隔音不是太好…', '短评打分': 5}
{'短评内容': '房间很好，', '短评打分': 5}
{'短评内容': '很不错，设施很新，装修等都很好，如果价钱可以优惠些就更好了', '短评打分': 5}
{'短评内容': '房间还是挺干净的，布置和设施也都不错，相对性价比还是很高的，就是房间隔音太差，房间小了一点', '短评打分': 5}
