{'短评内容': '物有所值。可以的', '短评打分': 5}
{'短评内容': '服务态度特别好 每次来郑州都是定的这家酒店 不管是服务啊 还是设施服务 都特别好  出差必备 好评推荐', '短评打分': 5}
{'短评内容': '非常不错的地方，就是有点小贵', '短评打分': 4}
{'短评内容': '可能是因为价格才198 所以真的很一般', '短评打分': 3}
{'短评内容': '还不错，价格还可以交通也算便利', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务不错，早餐很丰盛', '短评打分': 4}
{'短评内容': '很一般', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '酒店设施较旧，位置方便', '短评打分': 3}
{'短评内容': '房间不错，环境也很好，值得一宿', '短评打分': 3}
{'短评内容': '不错不错不错不错不错', '短评打分': 3}
{'短评内容': '酒店明显不值330这个价，房间打开一股不知道什么味道，门脸就是个小招待所那样的。洗澡的喷头也是坏的，到处出水，感觉不好。', '短评打分': 2}
{'短评内容': '位置好，比较整洁', '短评打分': 4}
