{'短评内容': '蚊子多，包夜起来打蚊子，疯了', '短评打分': 4}
{'短评内容': '感觉还不错，第一次出差到成都', '短评打分': 5}
{'短评内容': '还可以了，但是房间比较小。', '短评打分': 4}
{'短评内容': '还行，离中铁二局很近', '短评打分': 5}
{'短评内容': '设施还不错，交通方便', '短评打分': 5}
{'短评内容': '酒店干净卫生，设备设施不错！周边生活配套方便，但就是房间小，周边有点吵！', '短评打分': 5}
{'短评内容': '没有达到四星标准，很一般的酒店', '短评打分': 3}
{'短评内容': '不会再入住，详情参见前面点评内容', '短评打分': 2}
{'短评内容': '1.早餐与大蓉和合作居然七点过下去木有早餐了，说是节日期间估计不足……2.酒店蚊子太多3.设施设备陈旧。总体评价不及格，再也不会入住此家了。', '短评打分': 2}
{'短评内容': '开了一天车，休息好了！', '短评打分': 5}
{'短评内容': '位置很方便 环境也还不错 房间略小一点但设施还可以', '短评打分': 5}
{'短评内容': '还不错，市中心位置，交通方便，房间有点闷。', '短评打分': 4}
{'短评内容': '第3次入住了，不错', '短评打分': 5}
{'短评内容': '只要去成都，必选酒店，性价比高，地理位置与我办事地方近。', '短评打分': 5}
{'短评内容': '只要去成都，必选酒店，性价比高，地理位置与我办事地方近。', '短评打分': 5}
