{'短评内容': '有早餐但我们没有用不好点评，周边环境不错，交通便利，有停车场免费的。', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '性价比高！！！', '短评打分': 4}
{'短评内容': '有早餐，性价比高！情况好极了', '短评打分': 4}
{'短评内容': '老板娘跟一个搞卫生的大姐挺好的呢！就是房间设施比较差。', '短评打分': 3}
{'短评内容': '还行，环境干净，服务员态度很好', '短评打分': 5}
{'短评内容': '去三亚车管所方便，就是隔壁，其它一般，', '短评打分': 4}
{'短评内容': '离开工地比较近的酒店，条件一般。价格合理。房间干净', '短评打分': 4}
{'短评内容': '很好。', '短评打分': 4}
{'短评内容': '代订。一如既往！希望酒店换换床单！', '短评打分': 4}
{'短评内容': '因为标间不够，给了我们豪华标间，服务很好。至于房间内部，有点不敢恭维，小的不行，插口也只有2个。', '短评打分': 4}
{'短评内容': '还行，价格便宜，挺干净', '短评打分': 4}
{'短评内容': '还不错，服务态度挺好', '短评打分': 5}
{'短评内容': '酒店设施不错，住了一晚还不错', '短评打分': 5}
{'短评内容': '房间够大，价格也合理下次还来', '短评打分': 3}
{'短评内容': '地段不错，环境也可以，但整体管理跟不上，最不能忍受的是早上7点多该酒店的工作人员直接开门进来房间，一句招呼都不打，差点把我们吓死！！另外房间的空调和电视不行，要求前台处理，但就爱理不理的，唉......', '短评打分': 1}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '很不错，价位适中，环境比较好。。但是周围没有 吃的和超市，买东西比较麻烦', '短评打分': 5}
