{'短评内容': '好。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '早餐一般没什么吃的', '短评打分': 5}
{'短评内容': '还行不错 商务出差', '短评打分': 4}
{'短评内容': '挺不错的，真的！', '短评打分': 4}
{'短评内容': '可以泡温泉！很舒服！早餐食物营养丰富呵呵哒呵呵呵呵呵对于我们而言就是这样子吧……在一起就是这样说的都可以', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '位置还不错，附近蛮热闹的，离五四路王府井商场只有五六百米，整体还不错！', '短评打分': 5}
{'短评内容': '旁边有老福州温泉总店，饭不贵还蛮好吃的。', '短评打分': 5}
{'短评内容': '非常失望的一次入住体验！一进房间心就凉了半截！完全是冲着温泉木桶才订的这家，设施设备非常破旧，马桶差，盖子基本翻不起来的！我也是醉了！椅子上的皮都撕了一大块下来了，居然还不换掉！前台的有点像老板娘样子的人员在我退房这段时间看到一直是板着个脸，无论对于本店服务员还是客人的询问都是一副不耐烦的样子！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房間內有木桶，直接溫泉水，不用出房外浸，房間設備很完善，我下次到此地還要住此店。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '物有所值', '短评打分': 5}
{'短评内容': '优点价格不高，要求较高的就不要选了', '短评打分': 3}
{'短评内容': '感觉酒店通风不好，有一股味道，有点不好闻，其他都还可以，楼层服务态度有待提高。洗澡水是温泉的，很不错。下水道堵了，差点流到房间里。希望改善服务态度，特价房的押金太贵。希望我下次来福州会继续选择百合温泉大酒家', '短评打分': 3}
{'短评内容': '离市中心近，吃喝购物都方便。', '短评打分': 4}
{'短评内容': '电源插头少！不方便！厕所一直有味儿！', '短评打分': 3}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '住房条件太差，服务态度不好', '短评打分': 3}
{'短评内容': '酒店位置很不错，但由于是比较老的酒店了，房间内墙纸什么的有些剥落，介意的人就算了。', '短评打分': 5}
{'短评内容': '地点挺方便的，就是停车难，房间整体对得起价格，有机会还会入住，停车要解决！', '短评打分': 5}
{'短评内容': '价格虽然便宜，但是特价房好特别：五楼，要坐电梯到六楼再七拐八拐地下到五楼，环境根本算不上星级，退房时等一个小时。', '短评打分': 1}
{'短评内容': '很旧，两种对待', '短评打分': 3}
{'短评内容': '福州百合温泉酒店装修比较老了，早餐也不好。只能说一般。', '短评打分': 3}
{'短评内容': '停车场太小，经常车子进不去，要解决。新装修的房间还不错，早餐马马虎虎。', '短评打分': 5}
{'短评内容': '已住入本酒店535房住入人wei,zheng魏铮。', '短评打分': 3}
{'短评内容': '前台比较热情，房间还可以，但单间距离电梯有些远。入住还送早餐和净桑，呵呵，感觉还行吧', '短评打分': 5}
{'短评内容': '房间硬件不错，就是想走进特价房需要绕不少弯路；', '短评打分': 5}
{'短评内容': '已住入，距办公点较近，方便!住入房间号码535房。', '短评打分': 3}
{'短评内容': '已住入，房间有些冷，酒店告知暖气是订时供应的。', '短评打分': 3}
{'短评内容': '总体感觉信价必较高。', '短评打分': 3}
{'短评内容': '酒店太难找，的士把金百合跟百合温泉混了。', '短评打分': 3}
{'短评内容': '比较一般，还要自己爬楼梯，不过有暖气，还不错就是了', '短评打分': 1}
{'短评内容': '房间电视效果不好，主要是机顶盒问题，其它尚可', '短评打分': 3}
{'短评内容': '还不错，距离东街口，三坊七巷很近，打车起步价内就到了。酒店的温泉水洗澡很舒服的！', '短评打分': 5}
{'短评内容': '地理位置还不错，j就是里面的设施比较旧，卫生不是很好', '短评打分': 1}
{'短评内容': '几个月没来了，屋子都配上电脑了，电视也换32液晶屏了', '短评打分': 3}
{'短评内容': '很烂、很差,跟旅馆一样', '短评打分': 3}
{'短评内容': '还可以，但是服务很差', '短评打分': 3}
{'短评内容': '客间卫生较差！', '短评打分': 3}
{'短评内容': '很方便很快捷', '短评打分': 3}
{'短评内容': '设备有点旧，空调是中央空调，致冷效果有待提高/', '短评打分': 5}
{'短评内容': '跟图片上的不一样，而且交通也不好，附近只有一家比较好的餐厅', '短评打分': 1}
{'短评内容': '在福州都住的百合 贴心 地理位置好 停车也很方便 特别是对面的大福星鱼丸店  好嗨呀  好好吃的  早晨的自助餐八点以后的煎蛋也特别有味道额  ', '短评打分': 5}
{'短评内容': '158的特价房要从先上6楼再转好几个弯然后下楼梯到5楼，过程有点恐怖阴深深的。房间很小，水龙头出水量极小，浴室下水道不通畅。叫总台调房要加洗涤费。不可思议！', '短评打分': 1}
{'短评内容': '百合温泉大酒点还不错，地点也比较中心比较方便，还有早餐也比较丰富，下次还会去', '短评打分': 5}
{'短评内容': '位置不错，交通也很便利，就是网速有点慢。。。。。。。', '短评打分': 5}
{'短评内容': '设施较旧，卫生间纸巾极为粗糙。壁纸都发霉了。电话也没信号。', '短评打分': 1}
