{'短评内容': '。。。。。。。', '短评打分': 5}
{'短评内容': '酒店位置挺好的，就是房间里稍微有点吵，窗户靠路，房间还可以，隔音也还可以', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '房间挺好的，早餐也挺好的，各方面走挺好的，来住的多数都是来看病的，离医院离火车站都近，价格便宜，', '短评打分': 5}
{'短评内容': '服务特别好，一开始犹豫在哪开，离火车站近，离蚌医也近，早餐也好，有洗衣房，有熨斗，特别方便！！！！！', '短评打分': 5}
{'短评内容': '没去住，不知道', '短评打分': 5}
{'短评内容': '价格便宜，住宿环境还不错', '短评打分': 5}
{'短评内容': '服务很好，很干净，好评，以后还去这家。', '短评打分': 5}
{'短评内容': '很不错一次住宿体验，下次来蚌埠还是来这家', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '经常过来的', '短评打分': 5}
{'短评内容': '没有早餐', '短评打分': 4}
{'短评内容': '没用早餐', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行吧，就是大床房空间不大，床也比较小', '短评打分': 4}
{'短评内容': '还好 临时就近休息下', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '在京东定的酒店，好像和易龙合作的吧！\n去晚了，凌晨1点多到的，\n但前台的丫头搞了半天都找不到订单，等了好久，困死了都！\n效率不太满意，无他。', '短评打分': 3}
