{'短评内容': '真不怎么样 网上预订的房间停车就不免费 然后房间隔音特别差 服务态度也一般 进了房间手机信号就没有了跟与世隔绝一样了 实在是在附近吃了饭不想跑了 就预订的这里 加上停车费300一天的住宿就这环境！？还不如快捷酒店呢 也可能是公家的酒店不在乎这块能挣钱吧', '短评打分': 1}
{'短评内容': '卫生环境不错，很正规', '短评打分': 5}
{'短评内容': '早餐說是九点鐘結束，但是8點半去到，已經沒得吃了，也不再加。所以付了早餐的錢實際上是沒早餐吃。.房間還是挺大的，帶孩子去適合。.酒店的位置還可以，附近有很多吃的地方。也在馬路邊，交通方便。.好像沒有看到有停車場。', '短评打分': 3}
{'短评内容': '就那样吧', '短评打分': 4}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': '酒店位置好找，环境优雅，早餐不错', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '环境 卫生 服务不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '真憋啊', '短评打分': 1}
{'短评内容': '价格变化比较大，130多预订还是比较实惠的', '短评打分': 3}
{'短评内容': '还可以价格还算实惠', '短评打分': 4}
{'短评内容': '还可以吧，短住几天的很好选择', '短评打分': 4}
{'短评内容': '一如既往的好，推荐，交通方便，服务好', '短评打分': 5}
{'短评内容': '已经多次入住，………', '短评打分': 5}
