{'短评内容': '都不错的，性价比高', '短评打分': 5}
{'短评内容': '性价比很高的', '短评打分': 5}
{'短评内容': '没车位', '短评打分': 3}
{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '晚上没住就走了，浪费两百块，装修图片看看小清新，进去才知道估计十年前的装修了，没有电梯，挺感谢一个小姑娘为我提了箱子，但是如果是女孩子一个人出来，不要选择这家，因为太麻烦了，而且有点小小“惊人”，', '短评打分': 1}
{'短评内容': '很旧又破', '短评打分': 1}
{'短评内容': '又旧又破 服务也极差 强烈不推荐', '短评打分': 1}
{'短评内容': '陈旧', '短评打分': 1}
{'短评内容': '非常棒哦，价格也划算，下次来还住这家酒店', '短评打分': 5}
{'短评内容': '非常棒哦，价格也划算，下次来还住这家酒店', '短评打分': 5}
{'短评内容': '环境比较安静 毕竟是在小区里面  室内的设备比较旧 但是都挺干净的  洗手间还有浴缸  但是洗澡用的水龙头是固定的 这一点不是很方便  卫生还可以  服务也挺全面的  挺实惠', '短评打分': 5}
{'短评内容': '还不错，价格实惠', '短评打分': 4}
{'短评内容': '在小区中，挺难找，比较老的酒店，房间确实挺大的，但是床有点硬', '短评打分': 3}
{'短评内容': '在小区里面比较难找，不过还算安静。只有一个楼层，服务态度可以。中等', '短评打分': 3}
{'短评内容': '还可以，离客户那超近，卫生还算干净，就是室施旧了点。', '短评打分': 3}
{'短评内容': '交通便利，但是卫生不是很好，在一个小区内的，不是很好找', '短评打分': 1}
{'短评内容': '在小区的里面，灯光很暗，也不好找，电话都是坏的，根本没有服务可言，但是对于那种只住一晚上，也不图服务的朋友来说，那么好的地理位置和比较地道的价格还是比较容易让人接受的。', '短评打分': 1}
{'短评内容': '旅馆旧式老房改装，整体一般', '短评打分': 3}
{'短评内容': '住了两天，感觉还好，房间比较大，也比较明亮，就是没图片上面那么漂亮，有点旧的感觉，房间打扫也不是很干净，总体还好。', '短评打分': 5}
{'短评内容': '还可以，五一人太多了，前台非要给我换房间，最后算了', '短评打分': 5}
{'短评内容': '酒店还不错！只是游泳池没有开放！以后夏天再去住一晚看看能不能不游泳。。酒店离西溪湿地不远，周边交通、饮食都很方便。', '短评打分': 5}
{'短评内容': '服务原很热情，但房间的鼠尿味很重，电视机老旧，不好调节', '短评打分': 5}
{'短评内容': '服务员非常热情，态度很好，令人计划再次入住', '短评打分': 5}
{'短评内容': '房间卫生很好，服务比较亲切，总之下次有机会再次光临。', '短评打分': 5}
{'短评内容': '房间卫生很好，服务比较亲切，总之下次有机会再次光临。', '短评打分': 5}
