{'短评内容': '。活该粗江河湖海', '短评打分': 4}
{'短评内容': '环境不错。主要是不贵', '短评打分': 5}
{'短评内容': '我的洗头膏拉酒店了', '短评打分': 5}
{'短评内容': 'hi哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '房间宽敞，卫生整洁，房间灯光明亮，五楼楼层，楼下是步行街，吃饭购物极为便利，近东方红大道，交通便利，价格便宜，性价比高。只是电视偏小（25吋），虽然窗户关上后能够较好的隔音，但还是有一点点噪音。', '短评打分': 5}
{'短评内容': '嗯嗯非诚勿扰模式开启学霸模式开启', '短评打分': 5}
{'短评内容': '嗯嗯嗯嗯嗯嗯', '短评打分': 5}
{'短评内容': '在网上订过房，然后拿VIP卡想在开间房，前台不给开房，不知什么原因', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错不错，价格便宜，交通便利好的人都有一个人的时候就是这样的话就是这样的话我们公司在北京举行。我们自己也', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '酒店地理位置很优越，离火车站比较近，步行十五分钟就到了，周围商场也挺多，很方便，最主要的是夜晚睡觉很安静。', '短评打分': 5}
{'短评内容': '差劲', '短评打分': 1}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还可以，交通方便，下楼很多吃得！态度需要提升', '短评打分': 5}
{'短评内容': '非常满意。。。。。', '短评打分': 5}
{'短评内容': '地理位置优越，楼下就是信阳的步行街，买衣服，买吃的都很方便，下次来还会入住，酒店前台服务尚可！', '短评打分': 5}
{'短评内容': '地段不错', '短评打分': 3}
{'短评内容': '酒店环境不错，卫生干净，距离我办事的地方很近，交通方便，火车这打车就5块钱，就是打扫完房间后有消毒液的味道\n', '短评打分': 5}
{'短评内容': '位置很好，差不多信阳最繁华的一条街上，离火场站也不太远，唯一不足的就是入住的时候楼上在装修，白天没法在屋里休息的，噪声太大', '短评打分': 5}
{'短评内容': '碎花的被子感觉很温馨,有种回家的感觉,布局挺紧凑的,酒店的位置很好,去哪都很方便,总之来说不错,', '短评打分': 3}
{'短评内容': '卫生不错，就是在打扫完房间后有消毒液的味道，住了好几次了，都有，希望改进。', '短评打分': 5}
{'短评内容': '标准化程度不高', '短评打分': 3}
{'短评内容': '房间比较小，窗户很小，洗手间水很小。打车不能直接到。单行道。在步行街位置。附近吃饭的一般！', '短评打分': 5}
{'短评内容': '闹中取静，出行就餐都非常方便，卫生情况良好，下次还会光顾', '短评打分': 5}
{'短评内容': '优点：1、在步行街里面，逛街挺方便；2、离火车站、汽车站都不远、交通方便。3、服务还可以。\n缺点：1、卫生间太小了，特别是脸盆除了盆连放东西的地方几乎都没有。 2、不能打市话  3、房间没有服务指南  4、没有衣柜、衣橱，只有两个简易的衣架  5、网上订房没有早餐。', '短评打分': 1}
{'短评内容': '位置挺不错的', '短评打分': 3}
{'短评内容': '酒店位于步行街商业区，喜欢逛街购物的朋友非常方便！', '短评打分': 5}
{'短评内容': '酒店还算好吧，就是卫生间的下水弄得不好，卫生打扫比较马虎，最好在房间的时候叫人打扫。', '短评打分': 5}
{'短评内容': '酒店位于火车站附近，交通方便，吃饭的地方多。', '短评打分': 5}
{'短评内容': '还行，网速很快，房间电脑里有很多电影，你懂的。。。。。。。。。', '短评打分': 5}
