{'短评内容': '房子里面干净，很暖和，服务态度很好', '短评打分': 5}
{'短评内容': '位置方便，离高铁站近，还有免费公交到游客中心，服务员都很热情', '短评打分': 5}
{'短评内容': '设施齐全，环境也好，服务特别好，', '短评打分': 5}
{'短评内容': '酒店位置方便，服务比较好，不错', '短评打分': 5}
{'短评内容': '适合休息，里面比较温馨，卫生也干净', '短评打分': 5}
{'短评内容': '在陕西4晚，对比之下住得最贵也最差的一间，设施陈旧，环境一般，但床铺还是很干净，服务可以，不过查过华山景点附近的酒店都差不多这样状况，不能跟之前市区的酒店对比，虽然位于市区，但周边吃的地方不多，很多不营业。但这里的潼关肉夹馍是最好吃的。', '短评打分': 4}
{'短评内容': '位置方便，设施齐全，卫生干净，附近吃的也特别地道', '短评打分': 5}
{'短评内容': '有停车场，专人看管，设施齐全，服务态度很好', '短评打分': 5}
{'短评内容': '舒适度高，服务业特别到位，里面很温馨', '短评打分': 5}
{'短评内容': '地方好找，离高铁站和游客中心都近，很方便', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '酒店设施很好，暖和，交通便利，距离华山景区一公里，免费一路公交可以到达游客中心！最贴心的还是酒店人员的服务，冬日暖阳！推荐。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '该酒店位置不错，停车也方便，卫生条件还可以。但去的那天晚上服务员忙于玩手机游戏，问之爱答不答，晚上洗澡水也不热，酒店装修有点旧', '短评打分': 4}
{'短评内容': '酒店服务热情，门口有免费公交，设施非常全，前台服务员介绍景区很专业，不错的酒店，点赞！', '短评打分': 5}
{'短评内容': '不错的一家酒店，设施完善，交通便利，市中心！很暖和，服务热情周到！', '短评打分': 5}
{'短评内容': '前台小姑娘很美，热情，我喜欢！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行，镇上也没什么更好的选择了', '短评打分': 3}
{'短评内容': '从北站打车10块钱，到华山游客中心也是10块，房间还可以，酒店服务也挺好', '短评打分': 5}
{'短评内容': '房价偏高，不过作为景区周围的房价还是可以理解', '短评打分': 4}
