{'短评内容': '一般一般', '短评打分': 5}
{'短评内容': '总体还算可以，不错的经济型酒店。', '短评打分': 4}
{'短评内容': '酒店位置比较好找    后面有自己的停车场', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '环境很好 房间很大', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '干净舒适      温馨', '短评打分': 5}
{'短评内容': '挺好的，房间什么的也挺满意，就是走的时候他家没有发票，这个挺麻烦，不过前台姐姐给开了个收据，整体不错', '短评打分': 5}
{'短评内容': '在人民医院对面，里面环境还可以，就是肥皂需要花钱的。周边交通也挺便利的，去的时候正好在修路，有点脏有点乱，周边吃饭的地方也蛮多的，毕竟在医院对面。', '短评打分': 5}
{'短评内容': '酒店设施一般靠着市人民医院比较方便出差', '短评打分': 4}
{'短评内容': '不错，很不错，干净', '短评打分': 5}
{'短评内容': '酒店还不错，干净卫生！', '短评打分': 5}
{'短评内容': '酒店位置不错，交通便利，四通八达。房间设施也可以，服务到位。', '短评打分': 5}
{'短评内容': '东西不错，我很喜欢。', '短评打分': 5}
{'短评内容': '挺方便，离医院近，服务也挺好', '短评打分': 3}
{'短评内容': '不错，方便，房间也大', '短评打分': 3}
{'短评内容': '比较合适，，就是洗澡水太小了，，还是比较不错', '短评打分': 3}
{'短评内容': '就在人民医院对面，去医院很方便', '短评打分': 5}
{'短评内容': '可以，服务，条件都很好', '短评打分': 3}
{'短评内容': '宾馆环境不错，服务也周到，挺好的。', '短评打分': 3}
{'短评内容': '内部环境不错    走廊有点吓人哈哈哈哈哈', '短评打分': 5}
{'短评内容': '被套不是白色的，很不舒服！房间条件一般，很潮湿！', '短评打分': 1}
{'短评内容': '酒店暖气太糟糕，冬天只用空调取暖，我们住的房间空调几乎不制热，到是24小时有热水，发票难开...', '短评打分': 1}
{'短评内容': '厕所全方位透明，宽带真是慢的可以，总体一般，晚上竟然打来电话问要不要保健按摩服务。。。', '短评打分': 1}
{'短评内容': ' 酒店内部环境不错，整洁温馨，还准备了诸如尺子，订书器，指甲刀等小东西，很体贴。不错。隔音稍差。美中不足。', '短评打分': 3}
{'短评内容': '定的是元素单间，可是进来看见的跟特色单间一样，这不是坑人么？不过总体环境还可以，房间是很舒服，', '短评打分': 1}
{'短评内容': '酒店位置不错，就是服务太差，没有中央空调，房间空调制热很差，差点没冻死，最搞笑的是卫生间的门是透明的，一进们就能对卫生间一览无余，而且水冰冷，从来没住过这么差的酒店，再也不会住了。', '短评打分': 1}
{'短评内容': '优点：酒店比较干净，床单颜色很舒服\n缺点：空调制热差，晚上还给冻醒了，冷~~~；水碱大，洗澡的水龙头出水不太好', '短评打分': 5}
{'短评内容': '环境还可以，标准的商务宾馆。就是宽带速度有待提高。', '短评打分': 5}
{'短评内容': '酒店还可以，空调不是特别理想', '短评打分': 3}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '空调不热空调不热空调不热空调不热空调不热空调不热空调不热空调不热空调不热空调不热空调不热空调不热空调不热空调不热空调不热空调不热空调不热空调不热空调不热空调不热空调不热空调不热', '短评打分': 5}
{'短评内容': '服务较好，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '很不错 就是早餐种类少点 其他房间布置很好', '短评打分': 5}
