{'短评内容': '商品很好，值得再次购买，物流也非常给力', '短评打分': 5}
{'短评内容': '还是比较容易找的，卫生也还不错，就是房间有点小，不过广州都这样了。', '短评打分': 5}
{'短评内容': '已经是第n次住这里啦！', '短评打分': 5}
{'短评内容': '早餐吃的也满意', '短评打分': 5}
{'短评内容': '房间很小，因为只住一晚，明早赶火车就将就一下', '短评打分': 3}
{'短评内容': '九点位置还可以，离公园前地铁站和北京路步行街不算太远，可以步行前往。但酒店周围并没有什么吃的，而且酒店楼下都是卖音像的小店，比较乱。房间较小，行李不多也还好。空调没有制热功能，冬天会比较冷。', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '房价虽小，但服务挺好的', '短评打分': 5}
{'短评内容': '酒店不错  安安静静的', '短评打分': 5}
{'短评内容': '价格还算合理，清明节前后去的，位置很方便，在地铁站附近，想去哪都很快，就是房间有点小没有窗户，最多能放一个皮箱，所以有点潮湿还好我去的那几天天气都很棒。', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '交通比较方便，地铁口出来最多步行十分钟。房间很袖珍，毕竟价钱在这里，感觉房间通风不是很好', '短评打分': 5}
{'短评内容': '位置还算不错，离公园前地铁站几分钟路程', '短评打分': 5}
{'短评内容': '位置难找的要死', '短评打分': 5}
{'短评内容': '都行吧，挺小的，但是只是睡一晚无所谓了。', '短评打分': 4}
{'短评内容': '……一如既往的小，打开门厕所在门后，差点以为没有厕所。', '短评打分': 4}
{'短评内容': '给爸妈订的，交通很方便，地址位置也相当好，出门就是市中心', '短评打分': 4}
{'短评内容': '还行，离地铁口不远！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错，物美价廉，很实惠！我每次出差都是来这里，距离地铁口也近', '短评打分': 5}
{'短评内容': '特价房很小 但是一人住面积就完全够的。干净卫生，前台服务态度很好。周围很热闹，离地铁站5分钟的距离。推荐！', '短评打分': 5}
{'短评内容': '位置比较好', '短评打分': 5}
{'短评内容': '交通便捷，环境一般', '短评打分': 5}
{'短评内容': '整体感觉还是满意的，离地铁站很近，比较方便', '短评打分': 5}
{'短评内容': '如家一直是我的首选，非常好', '短评打分': 5}
{'短评内容': '东西很好，很喜欢东西很好，很喜欢', '短评打分': 5}
{'短评内容': '北京路店，环境，地理位置，都好的出奇，非常赞', '短评打分': 5}
