{'descr': '房间虽小,但床垫很舒服软硬适中,就是房间详情图片与实际有小小出入,总的来讲算满意了,还会再次入住', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '服务态度不错，环境还可以。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '物美价廉', 'star': 4}
{'descr': '不想多说', 'star': 2}
{'descr': '还可以吧，就住了一晚上，暖气不热开空调晚上还很冷、、、脱鞋不是一次性的，不过离去的地方挺近', 'star': 4}
{'descr': '酒店的服务非常到位，卫生很好，管理严格。给个赞吧！', 'star': 5}
{'descr': '洗手间不敢恭维…… 吹风机还要交押金 还得下楼自取 前台也不提示… 没优点', 'star': 3}
{'descr': '还可以，交通方便，卫生还过得去，主要是便宜', 'star': 3}
{'descr': '房间实际面积没有达到网上标的面积', 'star': 3}
{'descr': '交通便利，价格合理，干净整洁，服务态度好。', 'star': 5}
{'descr': '地点较偏，周围可以用餐的地方少，但还算干净。在在北京性价比还算高。', 'star': 5}
{'descr': '床单不很干净，其他尚可。', 'star': 3}
{'descr': '地理位置较偏，主要酒店外围环境实在不敢恭维，其实里面环境尚可，服务态度也不错，给个好评吧。', 'star': 1}
{'descr': '条件凑合，热水供应不足，每晚没水。地理位置还比较偏，态度一般，周边没有吃饭的地方，想吃饭要走20分钟路程', 'star': 5}
{'descr': '路程有点远。尤其外部设施很一般。不过因为是新建的，所以里边还算干净。住这里就是因为跟目前比较近，所以朋友来了方便见面。', 'star': 1}
{'descr': '条件很差，热水供应不足，地理位置还比较偏僻，十分不好找，值班经理服务态度极差，没有合理的解释，房间卫生很是一般，以后再不会过去住了。', 'star': 1}
{'descr': '感觉很好，谢谢', 'star': 3}
{'descr': '\u3000条件较差,位置不好,不值这个价', 'star': 3}
{'descr': '酒店内部设施还可以，服务态度很好，就是附近交通不慎便利，不过酒店可以将客人送到可以搭车路口。', 'star': 5}
{'descr': '十分不错，服务态度好，房间宽敞明亮，干净', 'star': 5}
{'descr': '价格合理，干净舒适，服务周到', 'star': 3}
{'descr': '平时去都挺好的，这次去的时候风有点大，我们住在3楼，窗外貌似有个排水管做的不太好，总是有风吹的嗡嗡声，影响睡眠，因为去的时候最后一间房了，没有相前台反映过，凑合住了，其他都还好', 'star': 5}
{'descr': '饭店干净整洁，硬件不错，环境很不错，去302医院住这家不错。', 'star': 5}
{'descr': '很干净，还可以订餐，到附近有免费的车接车送，还是很不错的', 'star': 5}
{'descr': '环境不错，就是交通不太方便，幸好店里有车可以接送到交通便利点的地方，总的还不错', 'star': 3}
{'descr': '好', 'star': 3}
{'descr': '活力 亲切 及时 周到 \n干净 舒适 性价比不错', 'star': 5}
{'descr': '总体还是不错的，就是位置稍微偏了一些，买东西、吃饭有点儿不是很方便，总体还是蛮不错的！', 'star': 5}
{'descr': '该酒店服务质量和服务态度都很好，房间的卫生条件也可以，尤其是免费接送的措施，较好的弥补了本身交通条件不足的缺憾，但是，该酒店目前最需要解决的是暖气不热的问题。希望尽快改进。', 'star': 5}
