{'descr': '方便', 'star': 5}
{'descr': '酒店入住便捷', 'star': 3}
{'descr': '酒店网上下单不太好订，但前台的服务挺好的，还给升级了家庭亲子房。就是能提供塑料拖鞋就更好了，毕竟用纸拖鞋洗澡不太方便。其他都还不错。', 'star': 4}
{'descr': '一般', 'star': 2}
{'descr': '我住的房间不带早餐', 'star': 4}
{'descr': '还不错！！！！！！！！！！还好还好！！！！！！～！', 'star': 5}
{'descr': '还行不错，。', 'star': 5}
{'descr': '不错。来北京住了三天。就住在这里。还可以。地理位置也不偏僻。大家很喜欢。', 'star': 5}
{'descr': '还不错，价格可以接收，服务也还行。', 'star': 5}
{'descr': '活动价真便宜，正品', 'star': 5}
{'descr': '交通方便，价格合理。', 'star': 4}
{'descr': '这个没消费也能评价啊，店家很爽快说退就退了。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '非常安静，超舒适', 'star': 5}
{'descr': '前台服务垃圾，房间收拾不彻底，看着还是挺乱的', 'star': 2}
{'descr': '很好', 'star': 5}
{'descr': '还不错！', 'star': 4}
{'descr': '这个价位在北京三环已经是非常便宜的了，房间比较大，设备虽有点老化，但比较齐全！经济实惠，性价比高！', 'star': 5}
{'descr': '环境好，服务不错，新装修过，有无线网。', 'star': 5}
{'descr': '不错。态度也很好。', 'star': 5}
{'descr': '基本可以的，就是好像还没开始供暖，房间的暖气片没啥用，还是要开空调。', 'star': 5}
{'descr': '房间的卫生和环境还不错，就是隔音较差，不过服务态度良好，给好评', 'star': 5}
{'descr': '酒店在小区里，不太好找，地理位置不错，出行比较方便', 'star': 4}
{'descr': '酒店还不错，出差一天到北京，下次有机会还会来的。', 'star': 5}
{'descr': '，房间小点，室内环境不错', 'star': 3}
{'descr': '环境可以，价格实惠，就是不太好找。性价比还行', 'star': 3}
{'descr': '    干净 .卫生.安静', 'star': 3}
{'descr': '不错，在这里住过几次了，感觉挺好的，我对卫生要求比较高，对这里比较满意。', 'star': 5}
{'descr': '地理位置较好，坐车方便，周围餐馆也不少，房间干净，价格比如家、七天都便宜，条件比上述两家一点也不差。', 'star': 5}
{'descr': '酒店服务态度有问题，有待于提高，电梯还坏了，实在是搓火', 'star': 1}
{'descr': '酒店服务态度非常好，地理位置也非常适合居住，不太吵，价格也适合，请大家放心入住。', 'star': 5}
{'descr': '非常好!', 'star': 3}
{'descr': '酒店干净,价格实惠.', 'star': 3}
{'descr': '酒店卫生不错,服务也挺周到,价格较合理,只是位置不大好找,因为酒店是今年才建的,问了很多人都不知道。', 'star': 3}
{'descr': '优点：房间很宽大 网速超级快 淋浴的水太热了 喷头好\n缺点：虽然有窗户 但是屋内似乎有点潮气的味道 电视一共不到40个台 有点少 枕头是软的 我睡不习惯', 'star': 5}
