{'短评内容': '位置好，卫生', '短评打分': 5}
{'短评内容': '真心不咋样，希望大家不要订', '短评打分': 1}
{'短评内容': '算是民宿吧，一楼是商品超市，没有电梯，2楼和3楼是餐厅，一股很重的油渍味，房间靠海，楼下就是嘉庚公园，房间的窗户被海风吹的哐哐哐响了一夜，老板人态度挺好的。', '短评打分': 3}
{'短评内容': '房间还可以', '短评打分': 3}
{'短评内容': '酒店位置很偏，在商场里面，没有挂招牌，门口就是鳌园的入口，设施很差，卫生间不是干湿分离的，房间很小，一次性拖鞋放在抽屉里，离开酒店时才发现还以为没有。但是价格挺便宜的，隔音上不好。', '短评打分': 3}
{'短评内容': '酒店环境还不错，就是没有电梯。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '酒店位于美丽的公园边，出门就是海', '短评打分': 4}
{'短评内容': '干净，卫生，视野开阔，交通便利', '短评打分': 4}
{'短评内容': '酒店没个招牌 到了位置电话老板出来接我们的。定的至尊套房 位置超好 夜景很赞 能拍到桥，早上起来直接下楼就是嘉庚公园的后门 很方便。', '短评打分': 5}
{'短评内容': '不错的环境，安全绝对保障', '短评打分': 3}
{'短评内容': '很多东西都是坏的，不合格。', '短评打分': 3}
{'短评内容': '地方是好地方，不过人缺……', '短评打分': 3}
{'短评内容': '私家旅馆（住宿不提供发票），位置在嘉庚公园正门对面，楼上或阳台可以俯瞰嘉庚公园和大海，傍晚环龙舟池散步观赏集美学院建筑非常美妙，早晚交通不方便，白天有电瓶三轮车。', '短评打分': 4}
{'短评内容': '刚开始订的时候看别人评价感觉不好，但这里离集美的几个景区最近， 后来定了海景大床房来了后没让我失望，能看到海，但不是无边无际的，而是海边的一个角！   房间装修不错   很干净  这价格也算值了！晚上可以免费逛嘉庚公园    图片是在房间拍的  推荐给你们', '短评打分': 3}
