{'短评内容': '去威海看海，很漂亮，明年还会去，酒店海景房带阳台，很赞', '短评打分': 5}
{'短评内容': '位置不错，靠海第一排的房子，与海就隔一条马路和沙滩了。不过要说是真正的海景房大概只有4、5楼的靠海这边的房间可以算了，2、3楼根本不太可能看见海，因为有路边的行道树挡着。酒店门前和路边据说可以停车，我们停在酒店旁的大排档前面，不过在早上7点半就有人开个车穿着个马甲来收费。照了张照片显示是“威海市安通停车有限公司”工作人员，其中有一人的编号为157，名字为：陆xx。收费10元。房间条件一般，较旧，卫', '短评打分': 4}
{'短评内容': '度蜜月的时候，住在这个酒店，出门就是海水浴场，很赞，酒店环境和设施还有待提高', '短评打分': 4}
{'短评内容': '房间装修时间长了  水池瓷砖都掉下来了  优点是离海边近  抬腿就去了  城市里ofo 小黄较多 骑车就能去想去的地方  很棒', '短评打分': 4}
{'短评内容': '临海，有点潮。酒店人员态度超级好，也可以代订各景区门票。房间装修很有特色', '短评打分': 4}
{'短评内容': '酒店地理位置很不错，就在海滩边上。里面的设施一般化。对住宿条件有点要求的朋友，要斟酌一下。', '短评打分': 4}
{'短评内容': '好评 住的很好 离海边很近隔了一条街', '短评打分': 5}
{'短评内容': '实惠，还不错', '短评打分': 4}
{'短评内容': '酒店位置好', '短评打分': 5}
{'短评内容': '服务好，吃住游都方便', '短评打分': 5}
{'短评内容': '特棒', '短评打分': 5}
{'短评内容': '还可以，位置很好，其他还行。', '短评打分': 4}
{'短评内容': '离海边超级近，就隔一条窄马路，还能看到海景，不错', '短评打分': 4}
{'短评内容': '性价比非常好，位置也方便，早餐也很丰盛，特别适合商务出差和旅游度假。', '短评打分': 5}
{'短评内容': '此酒店位置极佳，从房间就能看到海滩，性价比极高。设施很好，只是没有自己的停车场，停在门口，政府收费。下次来威海还是选择此酒店。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
