{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '环境还不错。', '短评打分': 5}
{'短评内容': '周边交通方便，旁边就是公交店。房间干净卫生，含早餐。', '短评打分': 5}
{'短评内容': '酒店环境不错。挺满意的。酒店的位子。出行都很方便。据当地朋友说那边儿是瓯北最热闹的地方。出门较早。早餐没有吃到。所以评价不了。', '短评打分': 5}
{'短评内容': '挺好，都挺好，没问题。', '短评打分': 5}
{'短评内容': '很棒、之前大学假期回来，家里乱糟糟的 理起来麻烦 这家实惠  环境又好。', '短评打分': 5}
{'短评内容': '……不错', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '每次出差鸥北都住锦江因为住宿出行购物餐饮都很方便性价比高', '短评打分': 5}
{'短评内容': '一个人住感觉还不错每次多来这', '短评打分': 3}
{'短评内容': '总体还行吧', '短评打分': 3}
{'短评内容': '……还可以总体', '短评打分': 3}
{'短评内容': '还好啦，就是发票问题没有处理好。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店服务态度不错，位置也很好，边上就有肯德基，楼下有KTV但是一点也不会影响到休息，说明隔音不错！早餐也还算可以！总体还不错！', '短评打分': 5}
{'短评内容': '蛮舒心，可以睡的很安稳！', '短评打分': 5}
{'短评内容': ' 房间还行，早餐不行', '短评打分': 3}
{'短评内容': '装修挺新的，就是三楼和四楼是KTV，要开到半夜，实在是吵。如果订的话，要有准备欣赏美妙的歌声到凌晨的准备。', '短评打分': 1}
