{'短评内容': '飞机很吵 热水不稳定 房间发霉 啥都没有', '短评打分': 1}
{'短评内容': '房间陈旧，就目前的价格来说太贵了，早餐哎都没法儿说，因为实在是没有办法吃啊！', '短评打分': 3}
{'短评内容': '酒店房间卫生还行，就是卫生间由于长期洗澡潮湿把墙上的壁纸弄的脱落的太不好看了，酒店地方比较好找，离景区挺近的', '短评打分': 4}
{'短评内容': '硬件中档，环境中档，无电梯，无电吹风，早餐差的一塌糊涂，农民工档次，咸菜配白菜', '短评打分': 3}
{'短评内容': '设备设施比较旧，我们住的2号楼没有电梯，卫生状况还行，离机场比较近，旁边有家大排档，离景区7公里左右，自驾还是比较方便的，相对于度假区的酒店，价格也算便宜了，早餐是烂面条和粥，鸡蛋和包子，就这个价格而言，还行吧。', '短评打分': 4}
{'短评内容': '方便出行。', '短评打分': 4}
{'短评内容': '离机场很近', '短评打分': 4}
{'短评内容': '周边环境不错，但房间墙壁有水透现象，换房后相对好点，房间设施比较旧，设备比较老化。节假日不给开税务专用发票，', '短评打分': 3}
{'短评内容': '说好的赠送茶叶都没有，早餐简直就是一个差，三个咸菜，馒头稀饭还有看上去没有胃口的蛋糕，总台服务员坐大唐看手机视频，叫了半天还是没过来，还是旁边的收银办理的入住手续', '短评打分': 2}
{'短评内容': '房间里灯光很差 被子还有点湿润 空调声音很大 连矿泉水都没有 厕所门是坏的 我妈妈的脖子被虫子咬了好大一条疤 蚊子咬得我儿子睡不着 唯一不错的地方是前台大厅看起来还算高级 旁边有秋千离吃饭的地方还算近 ', '短评打分': 4}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '除了房间大一点，呵呵呵呵呵呵呵呵呵', '短评打分': 3}
{'短评内容': '哎，一分钱一分货，这酒店不咋样，早餐差，房间差', '短评打分': 3}
{'短评内容': '环境好   价格实惠   很喜欢', '短评打分': 5}
{'短评内容': '简直欺骗消费者，大堂装修很好，房间破的一笔，要不是预付了3天我早退房了，还没wifi，200多我住景区都够了，晚上隔壁用水声音还特别大，吵的我爸妈不能睡觉，没玩好', '短评打分': 1}
