{'短评内容': '早餐好，位置便利，有停车场', '短评打分': 5}
{'短评内容': '条件挺好的 就是我住的那天停电 说晚上10点来电 结果早上11点了也不来 其他条件还可以 性价比还不错', '短评打分': 4}
{'短评内容': '差评！差评！差评！居然停了两天的电，也是醉了，酒店还不着急…', '短评打分': 1}
{'短评内容': '酒店位置还是很好找的，离地铁站也挺近的，但是设施有点老旧，可能是没窗的原因，所以味道有点大，不过这个价钱已经很不错了', '短评打分': 4}
{'短评内容': '网速慢 设备陈旧 ', '短评打分': 3}
{'短评内容': '挺好的，服务也不错。', '短评打分': 5}
{'短评内容': '差评。。。。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': 'jitimenkleqlvapll来了看看哦哦来咯哦哦他咯评论寂寞了踢了你嗯罗NLP路有我的得得得芥末', '短评打分': 5}
{'短评内容': '值得入住', '短评打分': 4}
{'短评内容': '环境可以', '短评打分': 5}
{'短评内容': '酒店环境不错，位置也可以，周围小吃很多，品种多，价格适中，尤其喜欢吃面食的，有很多品种可以选择，酒店左侧可以吃到正宗的羊肉泡馍，酒店房间性价比高，不错的酒店，下次再来', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '酒店环境不错，房间卫生干净，前台接待服务周到，让人觉得特别舒服，房间暖气已经供热，如果你觉得还冷，可以开空调调节。左面的邻居是重庆家富富侨足疗店，里面的技师水平比较高，按摩的穴位很到位，保健效果好。还提供免费的茶水，水果和小吃。', '短评打分': 4}
{'短评内容': '前台服务好，房间干净，位置也好找', '短评打分': 3}
{'短评内容': '环境挺好，和伙计过来的，地理位置也有越', '短评打分': 5}
{'短评内容': '还不错的酒店 就是地毯应该换新的 或者是不用地毯', '短评打分': 5}
{'短评内容': '酒店挺不错的,特别是淋浴器，水比较大，洗着很舒服', '短评打分': 5}
{'短评内容': '实际位置与地图所给不一致。。。。纯属欺诈', '短评打分': 1}
{'短评内容': '服务上挺不错，见面主动打招呼，房间里打扫也很干净，24小时热水，设施也完善，这次住的很舒适。', '短评打分': 5}
{'短评内容': '房间设计还比较合理，空调、电视都有，卫生弄的也不错，整体感觉还不错。', '短评打分': 5}
{'短评内容': '酒店看起来挺大众化的，基本设施都有，服务卫生方面也不错，位置也不错，出行也挺方便的。', '短评打分': 5}
{'短评内容': '房间日用品比较旧卫生还可以，服务态度价格还差不多。地理位置还是挺方便，不过临街的房间还是挺吵的。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '挺不错的，很舒适，交通也比较方便~', '短评打分': 5}
{'短评内容': '房间挺大的，设施挺齐全的，感觉挺新，住的挺舒心。', '短评打分': 5}
{'短评内容': '卫生状况挺好，设施也比较新，价格也比较合适，感觉挺不错的。', '短评打分': 5}
{'短评内容': '附近的购物中心比较多，购物很方便，交通也比较便利。', '短评打分': 5}
{'短评内容': '服务还行 设备 环境一般  ', '短评打分': 3}
{'短评内容': '服务一还行 设施、卫生等均一般 ', '短评打分': 5}
