{'短评内容': '早餐一般般', '短评打分': 5}
{'短评内容': '隔音很差，卫生间太小', '短评打分': 3}
{'短评内容': '呵呵哈哈哈', '短评打分': 5}
{'短评内容': '酒店门口就可以停车特别方便，旁边有大超市，后边就是海鲜一条街，房间干净卫生，难得的是晚上特别安静，性价比真的很高。', '短评打分': 5}
{'短评内容': '房间干净卫生停车也方便，旁边就是海鲜一条街', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '就是方便了', '短评打分': 4}
{'短评内容': '不错，感觉很好', '短评打分': 5}
{'短评内容': '带女儿去海滩玩，酒店环境不错。', '短评打分': 4}
{'短评内容': '不错，出行便捷', '短评打分': 3}
{'短评内容': '地点超级好！！旁边就有好多大排档，吃海鲜赞了！！小城到哪打的都不贵，起步价，非常好！！房间干净，挺满意的一次出行！！', '短评打分': 5}
{'短评内容': '空间很大，感觉不错！赞一个', '短评打分': 5}
{'短评内容': '交通方便出差住不错', '短评打分': 5}
{'短评内容': '出差住交通方便', '短评打分': 5}
{'短评内容': '不错，出差住方便', '短评打分': 5}
{'短评内容': '每次过来出差都是选这家，在一个超市旁，生活交通方便', '短评打分': 4}
{'短评内容': '比较干净，性价比高。酒店的自助早餐种类太少。', '短评打分': 5}
{'短评内容': '房间干净，设施新，地段离景区很近，晚上到海鲜排挡走路只需几分钟。前台服务人员很热情。', '短评打分': 5}
{'短评内容': '旅店没有停车场，借超市，没人管！', '短评打分': 3}
{'短评内容': '酒店很干净，楼下贝加超市很方便\n石浦的餐饮业，不敢恭维，出海鲜的地儿，成本应该相对低，可是价格比之上海杭州都贵很多，很怀疑这样的旅游业能否长久\n中国渔村也不敢恭维', '短评打分': 5}
{'短评内容': ' 酒店其他都好，就是电视机太小，更本看不清，谢谢', '短评打分': 3}
{'短评内容': '不错，通过朋友了解网上预定，真是经济又方便。朋友对房间也很满意，我就更不用说了，房间大又干净。下次去那还住那。', '短评打分': 5}
{'短评内容': '很方便的一家旅店，和女朋友一起去旅游时候定的。不错', '短评打分': 5}
{'短评内容': '还挺干净的，就是卫生间不怎么隔音。其他还好。', '短评打分': 5}
{'短评内容': '酒店地理位置好，就是电视太小，服务的值班经理很好', '短评打分': 5}
{'短评内容': '值得推荐，性价比高', '短评打分': 3}
{'短评内容': '房间很干净，停车场也很大，吃饭、买东西也方便，就是节假日房价实在涨得太狠。', '短评打分': 5}
{'短评内容': '静而美', '短评打分': 3}
