{'短评内容': '可以吧，，，，，', '短评打分': 5}
{'短评内容': '帮朋友定的，不错', '短评打分': 5}
{'短评内容': '差！', '短评打分': 1}
{'短评内容': '价格很实惠，周边购物吃饭也特别方便，离高铁站也不算远，交通便利，最重要的是老板人特别好，亲自送我们去迪士尼乐园，十分感谢！', '短评打分': 5}
{'短评内容': '代爸爸预定……挺好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还行吧，很便宜', '短评打分': 4}
{'短评内容': '一般吧，很便宜', '短评打分': 4}
{'短评内容': '蛮老的！', '短评打分': 3}
{'短评内容': '宾馆闹中取静，地理位置好，性价比高，有免费停车位。前台服务很好，有求必应。我们住的房间地毯在床和玻璃墙之间有很多灰尘，位置狭小，清洁阿姨打扫的不干净，去前台反映后，很快彻底清除干净了。服务态度', '短评打分': 4}
{'短评内容': '条件一般，实在订不到酒店了，没得选，只能选了这家，挺偏的', '短评打分': 4}
{'短评内容': '还行，就是隔音效果不是很好，总体不错', '短评打分': 4}
{'短评内容': '地方不错，比较干净，吃饭也方便，有停车位。价格也还可以', '短评打分': 3}
{'短评内容': '还可以吧。挺干净的', '短评打分': 4}
{'短评内容': '随便住住还可以，这个价格不求别的', '短评打分': 3}
