{'短评内容': '隔音不好', '短评打分': 2}
{'短评内容': '', '短评打分': 5}
{'短评内容': '酒店位置好，离古街很近', '短评打分': 5}
{'短评内容': '酒店位置好，去步行街很近', '短评打分': 5}
{'短评内容': '交通便利观前街步行十分钟就到，拙政园也不远。就是硬件设施不咋滴，住宿价格偏小贵', '短评打分': 4}
{'短评内容': '此生难忘，住过最差的宾馆', '短评打分': 1}
{'短评内容': '酒店位于市中心，离苏大一院很近，交通便利，性价比较高。', '短评打分': 4}
{'短评内容': '每次都是同一间房。不开心', '短评打分': 4}
{'短评内容': '就那样吧，路边随便找的，实在太晚没房才去的', '短评打分': 3}
{'短评内容': '一般性，没睡好', '短评打分': 3}
{'短评内容': '还可以，离景区不远', '短评打分': 5}
{'短评内容': '9.3订了2天晚上的住宿，还打了电话确认，今天到店居然以要涨价为理由，否认我们的预定，太无耻了', '短评打分': 3}
{'短评内容': '很好的酒店推荐', '短评打分': 5}
{'短评内容': '还可以，旅游旺季价格不是一般的贵啊！', '短评打分': 4}
{'短评内容': '话不多说，自行体会，158块钱换来的的价值体验?', '短评打分': 2}
