{'短评内容': '以前都是住这里，现在重新装修了', '短评打分': 5}
{'短评内容': '卫生间淋浴的水特别小，装修很旧', '短评打分': 3}
{'短评内容': '很好!服务很满意!下次去大郎还住那里!值得住的酒店!', '短评打分': 5}
{'短评内容': '，我住那间房的窗没锁，晚上睡觉还真挺怕的。', '短评打分': 3}
{'短评内容': '楼下就有餐厅很方便', '短评打分': 3}
{'短评内容': '交通和比较方便，消费类型依个人喜好来定。适合不同的人群来消费。', '短评打分': 5}
{'短评内容': '感觉还可以，就是旧了些。。。。服务态度还可以，但是不明白的是，早餐没有吃为什么那张票就作废了？', '短评打分': 5}
{'短评内容': '档次和房价基本匹配。还可以。客房和餐厅、卡拉OK没有隔开。楼层没有服务员。要打电话。', '短评打分': 5}
{'短评内容': '酒店设施齐全，环境不错，价格也还实惠。', '短评打分': 3}
{'短评内容': '感觉还不错，价格也行，值得入住。', '短评打分': 3}
{'短评内容': '房间较大，价钱合理，比较安静，卫生差点', '短评打分': 3}
{'短评内容': '房间比较大，价格比较实惠，但房间地毯比较旧', '短评打分': 3}
{'短评内容': '很一般的酒店，早餐几乎没有选择,  房间装修太老旧，网速慢', '短评打分': 1}
{'短评内容': '酒店大堂看上去不错，房间设施老了点，但挺干净的', '短评打分': 5}
{'短评内容': '设施太老旧了，网速倒是不错。但是不太适合商务出差。', '短评打分': 1}
{'短评内容': '总体感觉还是很不错的，前台服务态度不错，值得表扬；早点也还可以。\n\n但有如下两点需要改善：\n1）房间最好安有大灯，不然房间有点暗，晚上无法作业（这次因出差，回酒店要写点东西）\n2）棉被有点薄。', '短评打分': 5}
{'短评内容': '环境不是很好，房间空气质量很差。但是价格还是不错的\n', '短评打分': 1}
{'短评内容': '會員編號15913763630許瀛瑄', '短评打分': 3}
{'短评内容': '环境还不错，停车场免费，不过就是设施太陈旧了。', '短评打分': 3}
{'短评内容': '前台态度很好，要笔记本插头的转换器，很快就给我送来了，赞！', '短评打分': 5}
{'短评内容': '酒店配置不是很新了，设施还是很齐全的。卫生也还好，服务也很到位。', '短评打分': 5}
{'短评内容': ' 酒店还可以 对得起这个价钱 就是电视感觉有点小 房间灯光有点暗 其它都不错', '短评打分': 5}
{'短评内容': '早餐差，隔音效果不好，卫生间有个换气排风扇噪音很大，一宿都没怎么睡，不会再住了', '短评打分': 1}
{'短评内容': '房间还可以，就是有点旧，每天早上送的早餐不错，离店时(到候机楼)没有叫醒、叫车服务。', '短评打分': 5}
{'短评内容': '设施比较陈旧了酒店的历史估计还是挺长了，房间卫生还行服务也还不错吧，位置是挺好的。价格什么的都能接受就是酒店的设施还是有些旧了也是希望可以再装修一下应该也是会更好。', '短评打分': 5}
{'短评内容': '设施比较陈旧了酒店的历史估计还是挺长了，房间卫生还行服务也还不错吧，位置是挺好的。价格什么的都能接受就是酒店的设施还是有些旧了也是希望可以再装修一下应该也是会更好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '好，很实惠。', '短评打分': 5}
{'短评内容': '卫生一般化，设施太陈旧了，位置还可以，服务一般', '短评打分': 3}
{'短评内容': '性价比非常高，安静。', '短评打分': 5}
{'短评内容': '装修比较老了，但价格也便宜，很实惠，而且位置也很好，在路边，很好找，停车位也很大', '短评打分': 3}
{'短评内容': '很好,值得推荐.', '短评打分': 5}
{'短评内容': '因为是朋友带我去的，位置还不错，还是很好找的，房间卫生和设施也还好，服务也还算周到热情我觉得这是一家性价比较高的酒店，整体感觉还是值得推荐的。\n', '短评打分': 3}
