{'短评内容': '房间安静。', '短评打分': 5}
{'短评内容': '很满意，交通也方便', '短评打分': 5}
{'短评内容': '很不错的', '短评打分': 5}
{'短评内容': '很实惠，干净，很方便。', '短评打分': 5}
{'短评内容': '很实惠，干净，很方便。', '短评打分': 5}
{'短评内容': '还行吧，出差住这里的，以后还会住这里的', '短评打分': 5}
{'短评内容': '常住', '短评打分': 5}
{'短评内容': '去好几次了环境还可以，经常住这里&hellip;&hellip;', '短评打分': 5}
{'短评内容': '环境还可以，经常住这里&hellip;&hellip;', '短评打分': 5}
{'短评内容': '边上就是小学 刚好开运动会 很热闹但是不吵。就是晚上睡觉一直有一种隔壁在洗澡的声音 持续的一夜', '短评打分': 4}
{'短评内容': '不错～出差经常住简单，干净，僻静', '短评打分': 5}
{'短评内容': '房间很大，119价位很划算，就是电视机坏的，修了好几次才弄好，修电视的大叔态度很好，服务员有点不耐烦。', '短评打分': 5}
{'短评内容': '一般，晚上来睡个觉', '短评打分': 4}
{'短评内容': '还行吧，总感觉床单有点潮', '短评打分': 4}
{'短评内容': '床上有头发', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '房间里没有矿泉水，毛巾破旧。不干净。光线较暗。服务一般', '短评打分': 2}
{'短评内容': '干净、卫生，新店还算不错', '短评打分': 4}
{'短评内容': '服务好，硬件设施好', '短评打分': 5}
{'短评内容': '服务好，硬件设施好', '短评打分': 5}
{'短评内容': '服务好，硬件设施好', '短评打分': 5}
{'短评内容': '确实不错，环境清静，房间内设施干净卫生，并且非常实用，就是周边的餐馆比较少，可选择的余地不大，早餐品种少点，希望改进。', '短评打分': 5}
{'短评内容': '这件酒店真的是很好，装修简约而实用，环境闹中取静，服务挺好，设施齐备，卫生条件也非常好，不足之处就是早餐品种太少，可选择余地非常小。', '短评打分': 5}
{'短评内容': '经常住这个酒店，停车比较方便，环境比较安静。装修还算新，布置比较简单，设施还算齐全', '短评打分': 5}
{'短评内容': '价格经济实惠，只是隔音不好。周边就餐很容易。', '短评打分': 5}
{'短评内容': '很好，每次到慈溪均住在此酒店。早餐也比较丰富。', '短评打分': 5}
{'短评内容': '还不错 会常来', '短评打分': 3}
{'短评内容': '房间干净好', '短评打分': 3}
{'短评内容': '不错 还有电脑。', '短评打分': 3}
{'短评内容': '这家店很不错，很舒适。附近也很热闹，有超市购物也方便。', '短评打分': 5}
{'短评内容': '酒店正规，清洁干净，服务态度好，安全舒适，不足之处隔音太不好了，晚上睡觉隔壁房间说话都能听到，敲了墙隔壁才会意说话.', '短评打分': 5}
{'短评内容': '环境很好，位置闹中取静，相当适合出差居住。', '短评打分': 5}
{'短评内容': '房间不错，很安静，设备等也不错。位置市中心，交通比较便利。', '短评打分': 5}
{'短评内容': '非常干净，也很安静，169的房间还挺大，一大一小两张床。\n下次到慈溪肯定还住。', '短评打分': 5}
{'短评内容': '内部环境还是可以的，就是酒店位置太角落了', '短评打分': 5}
{'短评内容': ',于二十一日下午入住，二十二日上午退房，一切顺利！', '短评打分': 3}
{'短评内容': '总体感觉还好，就是如果是自己开车过去入住的话，那里面的那条路不太方便，因为里面有一学校，所以上下学的时候特别堵，不过里面还可以，再就是地方有些不太好找\n不过酒店里面还可以，房间空间也很大，不错！', '短评打分': 5}
{'短评内容': '房间比较小，早餐很差。唯一的优点就是离市区近', '短评打分': 1}
