{'短评内容': '布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住。积挺大,设施虽然有些旧了,房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的', '短评打分': 4}
{'短评内容': '连抽纸都没有，开了一个抽纸还收费5块', '短评打分': 3}
{'短评内容': '环境、位置都很好、只是卫生间需要改进、自己带的毛巾没地方放、而且热水太少，没等洗完就成凉水里总体来说还是很好的，已经是第二次入住了、', '短评打分': 5}
{'短评内容': '不错不错房间很大，只是前台的美女脾气不好，我半夜的要点东西就不开心了，她们也是睡着了吧，就态度就很差！！！！应该是24小时营业的吧？难道我半夜去睡着了就不接待了么，就得跟我发脾气？', '短评打分': 4}
{'短评内容': '非常好.都可以！满分，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '总体不错，酒店位于市中心，新玛特旁边，外观很上档次，服务很正规，房间挺干净的，有早餐，给朋友订的，他很满意，唯一有点缺憾的是走廊里一股味道，值得推荐', '短评打分': 4}
{'短评内容': '环境位置佳，购物方便', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': 'very good', '短评打分': 5}
{'短评内容': 'very good', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '位置就在新玛特楼下，吃饭、购物、看电影都很方便。卫生也可以，室内温度很好，被褥也很干。缺点：习惯自带毛巾，但是房间里却没有挂毛巾的杆。', '短评打分': 5}
{'短评内容': 'Good', '短评打分': 4}
{'短评内容': 'Good', '短评打分': 4}
{'短评内容': '比较满意，唯一的缺点：电梯不是很方便。', '短评打分': 5}
{'短评内容': '1 卫生不错\n2 服务需要提升\n3 早餐能不能也好点啊', '短评打分': 5}
{'短评内容': '电梯巨慢，热水只够10分钟，宽带还要花钱开通，押金只能是现金，除了房间大点，其余的都不如旁边的如家。住了2天果断换江天。', '短评打分': 1}
{'短评内容': '酒店装修还可以，隔音也还好，说几点不足吧！1.电梯只有一部，上下比较慢。2.房间所有矿泉水都是收费的。3.早餐比较单一。4.千万别住25楼，因为26楼是餐厅，早上很早厨房打开排风噪音很大。', '短评打分': 5}
{'短评内容': '酒店装修不错，本人住的是23楼，视野很好，能看到松花江（猜测是松花江），服务非常好，楼下是步行街和大商新玛特，应该算是佳木斯最好的酒店了。说说缺点吧，窗帘居然是薄薄的纱帘，佳木斯凌晨两点多就天亮了，你们能想象房间内是什么景象了吧——严重影响睡眠！高层电梯只有一部，巨慢！早餐实在是不敢恭维，太差了，与酒店极其不配套！如果你不介意这些缺点，推荐入住！', '短评打分': 5}
{'短评内容': '非常好，环境好，交通方便，是一个不错的酒店', '短评打分': 5}
