{'短评内容': '不错价格。。。。停车方便，早餐美味', '短评打分': 5}
{'短评内容': '早餐比别的锦江稍微差点', '短评打分': 4}
{'短评内容': '早餐比别的锦江稍微差点', '短评打分': 4}
{'短评内容': '早餐有些退步，只有一个菜，不理解', '短评打分': 4}
{'短评内容': '还好就是网速太慢基本用自己流量', '短评打分': 5}
{'短评内容': '很好很很好很好', '短评打分': 1}
{'短评内容': '挺好的的位置，下次还会去，就是隔音不是很好，主要是挨着工作间', '短评打分': 5}
{'短评内容': '便捷住还可以', '短评打分': 5}
{'短评内容': '订完过一个小时后到店告知没房，而且服务态度及其不好。人贵在自知之明，挣什么钱就该吆喝什么，做不了服务行业或者愤青就该好好的参加高考。既然没那能力就要为此挣钱而负责。乞讨下辈子出生起点好点吧～', '短评打分': 5}
{'短评内容': '交通便利，环保舒适，卫生，设备齐全，是出差，旅游的好住处', '短评打分': 5}
{'短评内容': '环境优雅，很温馨', '短评打分': 5}
{'短评内容': '酒店离怀柔区政府大院不远，交通位置不错，酒店客房基本背街，可谓闹中取静。房间虽然不大，设施却较为齐备。', '短评打分': 4}
{'短评内容': '入住很顺利，暖气给力，房内卫生干净，价格实惠', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '环境幽雅', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间挺干净，性价比高，紧邻商业区，吃饭购物也很方便。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好，价格不错', '短评打分': 5}
{'短评内容': '雖然住房無窗戶，因為是臨時訂房，房間差還是可以接受，小小間的，但是空調設備都很新穎，住起來很輕鬆無壓力，即使無窗也會住到不想離開', '短评打分': 4}
{'短评内容': '对得起这个价格。', '短评打分': 4}
{'短评内容': '干净舒适，价格优惠', '短评打分': 5}
{'短评内容': '交通便利，位置很好！', '短评打分': 5}
{'短评内容': '环境不错，交通比较便利！', '短评打分': 4}
{'短评内容': '周边环境不错，很方便！就是隔音不好啊', '短评打分': 5}
{'短评内容': '周边环境不错，很方便！住宿条件不错！', '短评打分': 5}
{'短评内容': '环境不错，很干净！不过隔音不是很好啊！你懂的！', '短评打分': 5}
{'短评内容': '条件不错！环境也不错！', '短评打分': 5}
{'短评内容': '挺好的，服务也不错，很好，我们提前入住也可以。', '短评打分': 3}
{'短评内容': '酒店非常干净，安静，最让人感动的是酒店服务员卞金凤姑娘，我将手机充电器遗落在酒店，卞姑娘当即就给快递了回来，非常热心，谢谢！', '短评打分': 5}
{'短评内容': '  酒店很新，比较干净，服务一般，位置很好，吃饭，交通都比较便利。', '短评打分': 3}
{'短评内容': '优点:酒店干净 服务好 周边购物方便\n不足:停车位有些少  \n满意 感谢 ', '短评打分': 5}
{'短评内容': '装修好，干净卫生，环境温馨，性价比高，值得推荐。', '短评打分': 5}
{'短评内容': '环境还行，就是房间小点，不适合全家住，服务方面也不错', '短评打分': 5}
{'短评内容': '酒店很干净！很新！喜欢酒店的卫生间！就是隔音稍差！希望改进！', '短评打分': 5}
{'短评内容': '干净卫生，服务也不错，就是停车场小了点，整体不错！', '短评打分': 3}
{'短评内容': '挺好的，闹中取静，去哪都方便，就是停车位太少，有点麻烦。', '短评打分': 3}
{'短评内容': '前台态度很蛮横，态度极差，床单上都是小滚球，不顺滑，很不舒服', '短评打分': 3}
{'短评内容': '环境比较好 酒店卫生状况不错 地理位置交通便利', '短评打分': 5}
{'短评内容': '网线有点短，其他都挺不错的，住的很舒服，床很舒服，服务态度也不错。', '短评打分': 5}
{'短评内容': '环境很好\n就是价钱有点小贵，如果床头能有网线更好了啊', '短评打分': 5}
{'短评内容': '干静，整洁。美中不足有装修的味道。', '短评打分': 3}
{'短评内容': '服务很好，环境一般！', '短评打分': 3}
{'短评内容': '服务和环境都非常好 地理位置也十分不错 服务和环境都非常好 地理位置也十分不错 服务和环境都非常好 地理位置也十分不错 服务和环境都非常好 地理位置也十分不错 服务和环境都非常好 地理位置也十分不错 服务和环境都非常好 地理位置也十分不错 服务和环境都非常好 地理位置也十分不错 ', '短评打分': 5}
{'短评内容': '房间很干净，安静，就是隔音差点!', '短评打分': 3}
{'短评内容': '算是怀柔城区最好的酒店了，不论是经济性还是卫生条件，地理位置', '短评打分': 5}
{'短评内容': '在县城里，交通便利，第二天去红螺寺也很近，15分钟到了。推荐入住。', '短评打分': 5}
{'短评内容': ' 还不错很干净 就是不明显', '短评打分': 3}
{'短评内容': '环境不错，服务不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': ' 房间很舒适，吃饭很方便。酒店刚刚开，前台服务人员和房务员的服务水平还需要提高。', '短评打分': 5}
{'短评内容': '很干净，不错，值这个钱。提醒大家，电梯旁边的房间不要住，很吵', '短评打分': 5}
