{'短评内容': '每次出差都住这里～', '短评打分': 5}
{'短评内容': '出差，环境不错', '短评打分': 5}
{'短评内容': '酒店位置较好，有免费停车场，对于自驾车的出差人员来说停车很方便。就是早餐比较简单。酒店设施齐全，值得推荐哦。', '短评打分': 5}
{'短评内容': '酒店位置较好，有免费停车场，对于自驾车的出差人员来说停车很方便。就是早餐比较简单。酒店设施齐全，值得推荐哦。', '短评打分': 5}
{'短评内容': '酒店位置较好，有免费停车场，对于自驾车的出差人员来说停车很方便。就是早餐比较简单。酒店设施齐全，值得推荐哦。', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '住宿环境不错，选择这家酒店没错', '短评打分': 5}
{'短评内容': '下单退单都很方便，价格也可以', '短评打分': 5}
{'短评内容': '好￥￥￥￥￥', '短评打分': 5}
{'短评内容': '经常住这里。很划算', '短评打分': 5}
{'短评内容': '很不错的体验', '短评打分': 5}
{'短评内容': '环境不错，服务也好', '短评打分': 5}
{'短评内容': '一如既往的好。出差游玩都选择连锁酒店', '短评打分': 5}
{'短评内容': '位置方便，档次高。', '短评打分': 5}
{'短评内容': '还行整体性价比', '短评打分': 3}
{'短评内容': '一开始不愿意给我房', '短评打分': 5}
{'短评内容': '实在是物美价廉，性价比超高，值得入住，环境卫生都很好', '短评打分': 5}
{'短评内容': '很好，还会入住。', '短评打分': 5}
{'短评内容': '很好，还会入住。', '短评打分': 5}
{'短评内容': '酒店非常舒适，房间宽畅设施比较新，以后还会选择住这里。', '短评打分': 5}
{'短评内容': '位置对于去厚街展会的来说偏了点，但是设施服务不错，周边有乐购，再远点儿有万达，比较安静。值得推荐，下次还会选择这里。', '短评打分': 5}
{'短评内容': '总体感觉很好', '短评打分': 5}
{'短评内容': '这个酒还不错，环境好，送早餐，就是不好打车。', '短评打分': 3}
{'短评内容': '不错，房间比较大，价廉物美啊，看皮料市场很方便的', '短评打分': 5}
{'短评内容': '地點雖然離厚街鬧區有點偏,但房間蠻新的,空間也蠻大的,可惜淋浴間的排水堵了,否則整體感覺不錯 .....', '短评打分': 5}
{'短评内容': '入住的是豪华套房，房间干净、空间大、隔音好、地毯舒服，落地窗和小型冰箱是亮点，中央空调制冷速度比较慢点，浴室没浴缸比较遗憾；乐购过条马路就到，吃的地方也多，交通非常方便，总得来说性价比很高', '短评打分': 5}
{'短评内容': '，第二次住厚街维也纳酒店感觉十分满意，也给了我们留下甜蜜的回忆！下次过去还会入住维也纳酒店', '短评打分': 3}
{'短评内容': '不是说返21元消费么，怎么没返', '短评打分': 3}
{'短评内容': '总体来说，这家酒店的性价比还是不错的，房间也比较大，设施也不错。缺点是给我们按排的房间是临街的，晚上比较吵，还有早餐没有现煮咖啡供应是一大遗憾', '短评打分': 5}
{'短评内容': '总体来说，这家酒店的性价比还是不错的，房间也比较大，设施也不错。缺点是给我们按排的房间是临街的，晚上比较吵，还有早餐没有现煮咖啡供应是一大遗憾。', '短评打分': 5}
{'短评内容': '地理位置好，离厚街广场2KM内。房间很舒服。15元的早餐不错。住酒店3KM内派车免费接（一般不会知道的），不过离开酒店收费送。', '短评打分': 5}
{'短评内容': '再也不要入住，服務差，清潔差，房間地毯非常不潔，作房記得先要看看防盜鏈，房間的防盜鏈竟可以成條斷了出來，把鏈取到服務台要求換房，他竟問是否我破壞的，真差！外出時有服務員說可代找私家車代替乘的士，但收費竟然比的士貴50%，有欺騙成份。記得先問好收費才上車。這是一個不開心的經驗。', '短评打分': 1}
