{'短评内容': '早餐很好 房间也干净漂亮', '短评打分': 5}
{'短评内容': '还不错，住了很多次', '短评打分': 5}
{'短评内容': '还不错，住了很多次', '短评打分': 5}
{'短评内容': '服务态度不错', '短评打分': 5}
{'短评内容': '感觉不是很好的服务，因为一早定的房间，还给安排房间在空调主机边上的房间，那噪音根本不能睡觉，感觉心里不痛快，唯一是图离家近', '短评打分': 4}
{'短评内容': '不错房间很宽大', '短评打分': 5}
{'短评内容': '第二次入住', '短评打分': 5}
{'短评内容': '全部评价属实', '短评打分': 5}
{'短评内容': '房间挺干净的，服务人员也都很客气，早饭虽然品种不多，不过都挺好吃的，能吃饱，总得来说非常满意。', '短评打分': 5}
{'短评内容': '我们的生活方式，我们的生活方式', '短评打分': 4}
{'短评内容': '一般，可以睡觉', '短评打分': 2}
{'短评内容': '很干净，整洁，物超所值，超赞！', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很不错，你值得体验，好好享受', '短评打分': 3}
{'短评内容': '房間空間大，環境衛生，價格實惠', '短评打分': 3}
{'短评内容': '房间太小了，说好大床房实际到店不是大床的。退房时前台只有一人，效率太低，早上7:46分开始，到了8:03分才开好发票。退房期间想先吃早餐，谁知就剩白粥和几个花卷。其它餐盆空空的。还说开业不久，下次绝不住这家', '短评打分': 3}
{'短评内容': '房间不错，但位置比较偏一些，还有就是最近边上在装修！！有点郁闷！！', '短评打分': 5}
{'短评内容': '很好的酒店，一进房就感觉很高档的样子，情不自禁的就定了。', '短评打分': 5}
{'短评内容': '具有特色的酒店，很满意，周围吃饭也不贵，下次还去', '短评打分': 5}
{'短评内容': '十房间不错，比汉庭莫泰更人性化，设施还行，早餐虽种类少但质量不错。狠偏僻，出行和娱乐就不大好了。', '短评打分': 3}
{'短评内容': '酒店环境比较安静！但周边吃饭的地方比较少，位置相对偏僻！房间装修风格不错！价位合理', '短评打分': 5}
{'短评内容': '入住房间很好，很有特色，不足的是卫生间实在小气，不知道别的房间怎么样，还有热水供应不大正常', '短评打分': 3}
{'短评内容': '很好很卫生，就是早餐太一般，但是价格很便宜', '短评打分': 5}
