{'短评内容': '很烂的酒店', '短评打分': 1}
{'短评内容': '就那样吧', '短评打分': 4}
{'短评内容': '凑活', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间特别小，只有几个平方，关键是前台服务巨差。', '短评打分': 2}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '挺好的，大家可以去试试！', '短评打分': 5}
{'短评内容': '环境还可以，都还行！', '短评打分': 5}
{'短评内容': '房间位置容易找，环境也还不错，靠着汽院也挺方便还是不错的，房费也不会，前台服务不错。。。。。。。。。', '短评打分': 5}
{'短评内容': '价格便宜，靠近学校也方便，设施有点老旧', '短评打分': 4}
{'短评内容': '忍了好久，还是发条评论。我订的和安时尚宾馆，入住的时候到了和安宾馆，结果前台的服务员给我说他们是一家的，说到这里也可以。然后我说可以吧，结果他又要我媳妇的身份证。我说订房的时候一张什么车不就行了吗？他说必须要有，没办法，我只好回去拿，幸好离家比较近，要是远了，或者是外地的，这可咋整啊？结果上去一看， 我要的大床房给我来了个双床房，还说不能退，恼火。', '短评打分': 3}
{'短评内容': '地方不错，交通方便，下次还来', '短评打分': 3}
{'短评内容': '这个价位也就这样吧。WiFi信号不好没网', '短评打分': 4}
{'短评内容': '房间没有wifi，没有梳妆镜', '短评打分': 4}
{'短评内容': '房间略小 尤其是卫生间 其他的都还好 就是奇怪为什么对面屋子的不穿衣服啥的还开着门', '短评打分': 4}
{'短评内容': '还行。不错。       挺好的', '短评打分': 4}
{'短评内容': '还行吧 设施比较旧了 我住的3018房间锁好像有点问题了 房间不大 整体一般', '短评打分': 5}
