{'短评内容': '有点小贵吧，服务也感觉不是那么好！', '短评打分': 4}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '早餐很好吃', '短评打分': 5}
{'短评内容': '1234567890', '短评打分': 5}
{'短评内容': 'cxxblkgfdfhkkkk', '短评打分': 5}
{'短评内容': '真的很棒，环境很好', '短评打分': 5}
{'短评内容': '带了一个外国朋友去住，前台居然不知道护照怎么登记，要打电话请示领导。不是叫国际大酒店吗？房间的暖风根本不管用，吹的是冷风，早上起来看了下温度表是16℃，冻感冒了。不会在住了。', '短评打分': 2}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '老酒店，设施一般，周边环境较差，公共交通和餐饮均须步行30分钟左右才可找到，适合自驾游者选择。', '短评打分': 4}
{'短评内容': '总台服务有点僵化：我入住时间延后到晚10点已通过携程成功办理，酒店大概因为内部没沟通好，结果总台说没收到延后通知，已按我原定的晚8点入住把我订单取消了。那么第一、你8点快到时就不能联系我确认下；第二、你房间也并不是那么紧俏，就多保留两小时就不行吗？第三、我都已经把手机上携程的延后信息给你们看了，你又有空余房间的，就办理入住不就完了吗？死活不肯，非得等到我让携程来和他们沟通才行。本来一路开车这么晚到', '短评打分': 3}
{'短评内容': '房间设备都不错，干净卫生，地理位置都很方便！', '短评打分': 5}
{'短评内容': '感觉一般，房间比较小～', '短评打分': 3}
{'短评内容': '高端大气很舒服，床很大，服务态度好', '短评打分': 5}
{'短评内容': '满意，', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '第二次入住，免费升级了房间，早餐品种很少，其他还不错。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '地理位置佳，出行较方便，环境不错，干净卫生，网络信号够用，设施很到位，服务尚可，价格正好，早餐也挺好的。', '短评打分': 5}
