{'短评内容': '基本满意', '短评打分': 3}
{'短评内容': '很不错，环境很好，住的也很舒服，房间内很干净，地理位置也非常好，很满意，下次还来这家酒店！值得推荐！赞！', '短评打分': 5}
{'短评内容': '一般吧，还是比较方便的', '短评打分': 3}
{'短评内容': '房间卫生还可以就是感觉有点旧了。', '短评打分': 3}
{'短评内容': '酒店在东门外，上城墙很方便，环城公园散步也很美。', '短评打分': 4}
{'短评内容': '酒店服务很不好，没人理，没人管。设施相当陈旧，都是烂的。总体来说不好，将就了一晚上，第二天就赶快换了酒店。', '短评打分': 2}
{'短评内容': '帮别人定的，说还不错呢', '短评打分': 3}
{'短评内容': '装修比较陈旧，房间挺大的。', '短评打分': 4}
{'短评内容': '实在太差了，房间根本没有清洁，茶几上扔着黑乎乎的破毛巾，另外一间房的床上竟然有几只飞虫！给前台通知打扫卫生可是根本没有人管！太差劲了！', '短评打分': 3}
{'短评内容': '交通便利，性价比非常高，有独立的客厅，会客非常方便。', '短评打分': 5}
{'短评内容': '房间还不错，就是服务一般，换根网线打了无数电话，等了2个小时才来人。', '短评打分': 5}
{'短评内容': '卫生差，地毯脏，早点几乎没啥吃的，毛巾有味儿，绝对是一锤子买卖', '短评打分': 1}
{'短评内容': 'hen  man  yi de di fang o', '短评打分': 5}
{'短评内容': '房间很宽敞，很舒适，还有自动麻将机，服务上也很周到，整体感觉很不错。', '短评打分': 5}
{'短评内容': '房间布置的很温馨，打扫也很干净，周边交通也挺便利，出行挺方便。', '短评打分': 5}
{'短评内容': '服务上很周到，房间宽敞干净，周边出行也很方便，值得推荐。', '短评打分': 5}
{'短评内容': '房间超级大，卫生也很好，设施也齐全，住的很舒适。', '短评打分': 5}
{'短评内容': '酒店挺干净的，大堂房间都蛮大的，停车场也挺大，停车很方便。位置也不错，出行挺方便的。', '短评打分': 5}
{'短评内容': '房间挺宽敞，采光也很好，设施挺完善的，价格也合理。', '短评打分': 5}
{'短评内容': '酒店离钟楼不远，交通挺便利的。服务上很周到，很热情，卫生也很好，每天都有人及时打扫。', '短评打分': 5}
{'短评内容': '该酒店的地理位置和房间的档次根本不够网上所说的星级标准,房价偏高,没有空调阴冷被单和床罩不洁,和期望值差距太大!', '短评打分': 3}
{'短评内容': '酒店服务还不错，态度很热情，有事也能及时给处理。', '短评打分': 5}
{'短评内容': '房间比较宽敞，尤其是卫生间很大，卫生打扫的也很干净。', '短评打分': 5}
{'短评内容': '房间采光很好，也很干净，服务上很周到，出行也很方便。整体感觉还不错的。', '短评打分': 5}
{'短评内容': '商务套间不像照片上那么好，设施感觉很旧，浴室又小又黑，地摊很脏，很不舒服。', '短评打分': 1}
{'短评内容': '很好！强烈推荐！！&lt;br /&gt;\n商务间的套间很大，很舒服。&lt;br /&gt;\n因为是新开业的酒店，设施全新。不过餐厅在装修，没有吃饭的地方，很遗憾！&lt;br /&gt;\n再有，平安夜有抽奖，我中了2等奖。哈哈', '短评打分': 3}
