{'短评内容': '老板人很热情，房间还不错，给我们免费升级了放假。', '短评打分': 5}
{'短评内容': '呵呵，我订了三天没去住过一天，老板也不会给我一条短信或者一个电话', '短评打分': 1}
{'短评内容': '酒店闹中取静，房间很干净，布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住。', '短评打分': 5}
{'短评内容': '客栈就在古城里，周围很安静，离古城商业街走路10分钟不到，老板娘很好', '短评打分': 5}
{'短评内容': '有一只超级可爱的金毛', '短评打分': 5}
{'短评内容': '没早餐，床够大不能加床，适合带孩子，位置不错出去走八分钟就是公交车站，没停车厂', '短评打分': 4}
{'短评内容': '抱歉这么晚来写和评论哦，而且我本人也比较懒木有拍照片好吧，不过是很值得推荐的一个客栈呢，老板很好哒性价比高的客栈。交通也OK啦。', '短评打分': 5}
{'短评内容': '环境清净，交通方便，坐公交车就可以到达大理，也可以在小巷门口坐到双廊的车，临近古城，游玩方便，出门就可以找到当地小吃。', '短评打分': 5}
{'短评内容': '一次愉快的旅行，老板值得信赖', '短评打分': 1}
{'短评内容': '房间卫生差一点点!其它服务环境之类的很满意!!!', '短评打分': 5}
{'短评内容': '位置还不错，就在古城内，去洋人街等地都很方便，房间也很温馨，布置的很有趣，性价比不错', '短评打分': 4}
{'短评内容': '在小巷子里，稍微有点难找，但还是里主要交通干道比较近。客栈很安静，老板也为客人能休息好做得很多，没事还能和老板喝喝茶聊聊天，算是不错的入住体验，但我住的一楼的房间离杂物堆很近，感觉房间里也不是特别干净，能再打扫得专业些就很棒了。', '短评打分': 5}
{'短评内容': '在一条很安静的巷子里，客栈很舒适，悠闲，在古城北边，离8路公交站五分钟，交通方便。', '短评打分': 5}
{'短评内容': '位置在古城内，有点不好早，不过环境不错', '短评打分': 5}
{'短评内容': '客栈干净,老板热情周到。', '短评打分': 3}
{'短评内容': '客店很周道,服务很热情', '短评打分': 3}
{'短评内容': '客栈不错，价格也便宜，老板很好，还未到大理，老板就把地址发到我们手机上询问用不用去接我们，客栈就在公交车站旁边，离洋人街也不算远，我们离开那天是晚上10点的飞机，老板说随便什么时候退房都可以，过了中午也不收半天的房费，一定要给老板个好评。', '短评打分': 5}
{'短评内容': '离古城很近，走路几分钟，老板人很好，很热情，房间干净，唯一不好就是热火不好调整', '短评打分': 5}
{'短评内容': '房间设施一般，不过还算干净，就是刚到时路不太好找。', '短评打分': 5}
{'短评内容': '环境挺好的，老板娘很漂亮，人很nice。 前台小妹也很热情。', '短评打分': 3}
{'短评内容': '不仅交通便利，离古城很近，客栈老板服务态度也很好!推荐！', '短评打分': 5}
{'短评内容': '晚上才到，路痴第一次找很困难，老板很热情，不错不错', '短评打分': 3}
{'短评内容': '环境什么的还不错，距离古城也比较近， 就是房间水量比较小\n有一个带顶的天台 可以晾晒 晚上去看星星好爽哎 ', '短评打分': 5}
{'短评内容': '客栈老板人很好，房间很干净', '短评打分': 3}
{'短评内容': '客栈人很好，很随意，院子挺不错，只是条件简陋了些，床不太平。', '短评打分': 3}
{'短评内容': '  环境不错，老板和金花都很热心，推荐。', '短评打分': 3}
{'短评内容': '已入住，不错，跟丽江差不多，店家很热情，下车专程来接，客栈环境也很优雅，推荐丽江和大理两边都可以住，下回还会来住', '短评打分': 3}
{'短评内容': '老板很热情！下次会来！', '短评打分': 3}
{'短评内容': '很舒服随意的地方～还有免费的大理啤酒可以喝^_^¦¦¦ 老板和小二们都很随和，感觉更像是群居生活 古城和不大，走到洋人街和人民路都不远 推荐～', '短评打分': 5}
{'短评内容': '强烈推荐懒猫！不仅交通便利，离古城很近，客栈老板服务态度也很好！还帮我们设计了一天的行程，玩得很尽兴！决定下次去丽江继续订懒猫！', '短评打分': 3}
{'短评内容': '客栈很好，老板人也不错，推荐\n位置很好，安静', '短评打分': 5}
{'短评内容': '老板和老板娘都非常热情，晚上请我们全客栈的人吃西瓜。', '短评打分': 3}
{'短评内容': '环境很好，离古城繁华地段也不远，老板人也很好~推荐哦~~', '短评打分': 5}
{'短评内容': '懒猫家的环境很不错。老板也很好。地理位置也不错，虽在古城内但很僻静。', '短评打分': 3}
{'短评内容': '懒猫真的有懒猫，这是对这里的第一印象。然后一楼是小天井，可以免费泡茶喝，客房还是比较多的，就是不太隔音，所以隔壁之间很容易相互吵到，离主要街道和古城洋人街很近，晚上活动不受时间限制，太阳能很给力，总之，很好很值得推荐。', '短评打分': 5}
{'短评内容': '，还是被忽悠了，，说是提供宽带上网，其实房间里面没电脑，连，洗漱工具都要自己去服务台拿！唉，还不如楚雄60元的房间！超鄙视！', '短评打分': 3}
{'短评内容': '非常好的客栈。比想象中的要干净。老板人很好，打电话问路线老板主动提出来接。我订的是特价房老板主动给升级了，非常感谢。下次去大理还会住懒猫客栈的。', '短评打分': 5}
{'短评内容': '虽然不是很好找 但老板很好亲自开车来接 我们住的房间还没有退出来 老板给安排了更大的 只加了一点钱 小猫咪也很可爱 房顶还能看风景 物有所值', '短评打分': 3}
