{'短评内容': '环境优美', '短评打分': 5}
{'短评内容': '根本值不了这么多钱，房间的装修陈旧。洗漱设施真的让我无力吐槽，房间大小一般，总之就是不会再来，也不会推荐朋友入住', '短评打分': 4}
{'短评内容': '奇葩酒店', '短评打分': 2}
{'短评内容': '酒店的工作人负服务意识很强，服务态度也很好，大厅豪华气派，餐厅装修也很棒。', '短评打分': 5}
{'短评内容': '停车方便', '短评打分': 5}
{'短评内容': '温泉酒店，免费泡温泉，3楼还有免费的宵夜，房间床品要是再舒服些就完美了', '短评打分': 5}
{'短评内容': '还说什么呢，住都住了，方不方便的总得凑合，总的来说不推荐了。', '短评打分': 4}
{'短评内容': '设施太老，服务没问题，但作为商务出差来说有诸多不便，早饭和宵夜可以免费吃，可以免费桑拿，算是补偿一点不是特别好的地方', '短评打分': 4}
{'短评内容': '其实要说还是比较好的酒店，就是跟洗浴混搭不是特别方便，每次进房间还要换鞋，房间什么都没有，网速特别慢，总体来说一般', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '客观的说，大床比较舒服，但房间较小，没有书桌，根本没有所说的无线和Wifi，不适合商旅，服务态度很好！', '短评打分': 3}
{'短评内容': '环境不错，还可以。环境不错，还可以。环境不错，还可以。', '短评打分': 1}
{'短评内容': '就是洗温泉的地，房间里没衣柜，没热水壶，没电吹风，房间还很局促。不舒服！', '短评打分': 1}
{'短评内容': '洗浴中心，不是正规的酒店。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境优雅，卫生整洁，适合出差和商旅之用，下次出差还有选择这家酒店', '短评打分': 5}
{'短评内容': '里面没有衣柜 早上没有热水 有网线但是上不去 夜里有一股臭味 向酒店投诉 酒店说我们没有冲厕所 绝对无语 坚决不再住', '短评打分': 1}
{'短评内容': '严格意义上讲，这不是一家酒店，是一家温泉洗浴中心可以住宿罢了，环境不错，服务态度也好，就是从酒店角度看硬件不是太全', '短评打分': 5}
{'短评内容': '酒店交通便捷，房间舒适豪华，是到郑商旅的首选，23和24号出差还住和园，正好参加酒店举行的圣延活动:吃大餐看节目抽大奖，太给力了！', '短评打分': 3}
{'短评内容': '房间真叫一个小，因为和温泉在一起，每次都有人问你是不是要换鞋，没有一次性拖鞋', '短评打分': 5}
{'短评内容': '已入住和园酒店，感觉装修很豪华，应该是郑州最好的温泉酒店，可以无线上网，交通便利，下次还会选择和园酒店。', '短评打分': 5}
{'短评内容': '房间很小，商务大床房没有桌子，只能在床上放电脑，网上表明有35平方米，实际也就20左右。很失望。', '短评打分': 1}
{'短评内容': '酒店干净，环境较好，服务到位，一切都好。', '短评打分': 5}
{'短评内容': '房间硬件设施不错，就是通风不好，屋子小睡觉很闷', '短评打分': 3}
{'短评内容': '服务很好，早餐时间短。住了两天没有给打扫房间。温泉酒店有些潮。服务很好。', '短评打分': 5}
{'短评内容': '条件不错，服务不错', '短评打分': 3}
{'短评内容': '酒店不错，有免费水果吃，离新开发的郑东新区挺近，早上不用起那么早了，新开的酒店挺好', '短评打分': 5}
{'短评内容': '非常豪华的一个会所，当酒店住的话能享受不少免费的周边设施，只是来的有点晚，早上才知道，下次来再说吧。床很舒服，很软，挺温馨的', '短评打分': 5}
{'短评内容': '自己到郑东新区参加展会，在网上订了这家酒店，开始只是觉得图片上表现的非常豪华，价格看着也算合理，到了酒店以后发现确实不错，前厅办理入住比较迅速，还可以免费汤池洗澡，还有免费水果，都挺好的，带的电脑不用插线，全店有wifi，大爱啊~', '短评打分': 5}
